"","Znamka","Leto","St.prodanih","Delez.na.trgu(%)"
"151","Aston Martin",1997,488,0
"152","Audi",1997,460721,3.42
"153","BMW",1997,430694,3.2
"154","Citroen",1997,625671,4.64
"155","Ferrari",1997,1996,0.01
"156","Fiat",1997,1272570,9.44
"157","Ford",1997,1491688,11.07
"158","Honda",1997,217188,1.61
"159","Hyundai",1997,149676,1.11
"160","Jaguar",1997,17222,0.13
"161","Jeep",1997,34611,0.26
"162","Kia",1997,37395,0.28
"163","Lancia",1997,176211,1.31
"164","Lexus",1997,3408,0.03
"165","Mazda",1997,184726,1.37
"166","Mercedes Benz",1997,489373,3.63
"167","Nissan",1997,420338,3.12
"168","Opel",1997,1566430,11.62
"169","Peugeot",1997,889555,6.6
"170","Porsche",1997,17303,0.13
"171","Renault",1997,1325864,9.84
"172","Land Rover",1997,47988,0.36
"173","Seat",1997,332616,2.47
"174","Skoda",1997,115249,0.86
"175","Subaru",1997,45893,0.34
"176","Suzuki",1997,138739,1.03
"177","Toyota",1997,379169,2.81
"178","Volkswagen",1997,1385501,10.28
"179","Volvo",1997,231307,1.72
"180","Alfa Romeo",1998,172675,1.19
"181","Aston Martin",1998,425,0
"182","Audi",1998,486734,3.37
"183","BMW",1998,444979,3.08
"184","Citroen",1998,680771,4.71
"185","Ferrari",1998,1934,0.01
"186","Fiat",1998,1219149,8.43
"187","Ford",1998,1432848,9.91
"188","Honda",1998,216451,1.5
"189","Hyundai",1998,199466,1.38
"190","Jaguar",1998,20309,0.14
"191","Jeep",1998,33003,0.23
"192","Kia",1998,36670,0.25
"193","Lancia",1998,184841,1.28
"194","Lexus",1998,6938,0.05
"195","Mazda",1998,215082,1.49
"196","Mercedes Benz",1998,620754,4.29
"197","Nissan",1998,439870,3.04
"198","Opel",1998,1567894,10.84
"199","Peugeot",1998,947094,6.55
"200","Porsche",1998,18437,0.13
"201","Renault",1998,1541891,10.66
"202","Land Rover",1998,75004,0.52
"203","Seat",1998,361423,2.5
"204","Skoda",1998,157627,1.09
"205","Subaru",1998,52891,0.37
"206","Suzuki",1998,156828,1.08
"207","Toyota",1998,434440,3
"208","Volkswagen",1998,1577306,10.91
"209","Volvo",1998,238414,1.65
"210","Alfa Romeo",1999,180154,1.18
"211","Aston Martin",1999,485,0
"212","Audi",1999,514825,3.36
"213","BMW",1999,484164,3.16
"214","Citroen",1999,706480,4.61
"215","Ferrari",1999,1973,0.01
"216","Fiat",1999,1109513,7.25
"217","Ford",1999,1411878,9.22
"218","Honda",1999,217358,1.42
"219","Hyundai",1999,228757,1.49
"220","Jaguar",1999,30686,0.2
"221","Jeep",1999,39789,0.26
"222","Kia",1999,68861,0.45
"223","Lancia",1999,142710,0.93
"224","Lexus",1999,15800,0.1
"225","Mazda",1999,216430,1.41
"226","Mercedes Benz",1999,683919,4.47
"227","Nissan",1999,416860,2.72
"228","Opel",1999,1672578,10.93
"229","Peugeot",1999,1124645,7.35
"230","Porsche",1999,20017,0.13
"231","Renault",1999,1662226,10.86
"232","Land Rover",1999,96672,0.63
"233","Seat",1999,416386,2.72
"234","Skoda",1999,184736,1.21
"235","Subaru",1999,59554,0.39
"236","Suzuki",1999,196158,1.28
"237","Toyota",1999,478645,3.13
"238","Volkswagen",1999,1738201,11.35
"239","Volvo",1999,241771,1.58
"240","Alfa Romeo",2000,176389,1.17
"241","Aston Martin",2000,691,0
"242","Audi",2000,488376,3.25
"243","BMW",2000,497328,3.31
"244","Citroen",2000,767618,5.11
"245","Ferrari",2000,2224,0.01
"246","Fiat",2000,1128738,7.52
"247","Ford",2000,1252561,8.34
"248","Honda",2000,189972,1.26
"249","Hyundai",2000,219510,1.46
"250","Jaguar",2000,34995,0.23
"251","Jeep",2000,36140,0.24
"252","Kia",2000,84559,0.56
"253","Lancia",2000,173758,1.16
"254","Lexus",2000,17214,0.11
"255","Mazda",2000,182212,1.21
"256","Mercedes Benz",2000,710260,4.73
"257","Mini",2000,18,0
"258","Nissan",2000,427528,2.85
"259","Opel",2000,1537067,10.23
"260","Peugeot",2000,1173262,7.81
"261","Porsche",2000,22205,0.15
"262","Renault",2000,1569349,10.45
"263","Land Rover",2000,92813,0.62
"264","Seat",2000,434860,2.9
"265","Skoda",2000,224675,1.5
"266","Subaru",2000,45219,0.3
"267","Suzuki",2000,179198,1.19
"268","Toyota",2000,594946,3.6
"269","Volkswagen",2000,1629687,10.85
"270","Volvo",2000,230979,1.54
"271","Alfa Romeo",2001,205431,1.36
"272","Aston Martin",2001,763,0.01
"273","Audi",2001,541799,3.6
"274","BMW",2001,521635,3.46
"275","Citroen",2001,865179,5.75
"276","Ferrari",2001,2025,0.01
"277","Fiat",2001,1067855,7.09
"278","Ford",2001,1314467,8.73
"279","Honda",2001,160755,1.07
"280","Hyundai",2001,213245,1.42
"281","Jaguar",2001,43605,0.29
"282","Jeep",2001,28734,0.19
"283","Kia",2001,72267,0.48
"284","Lancia",2001,147358,0.98
"285","Lexus",2001,21357,0.14
"286","Mazda",2001,140135,0.93
"287","Mercedes Benz",2001,741318,4.92
"288","Mini",2001,25365,0.17
"289","Nissan",2001,387808,2.58
"290","Opel",2001,1551912,10.31
"291","Peugeot",2001,1287066,8.55
"292","Porsche",2001,23789,0.16
"293","Renault",2001,1583400,10.52
"294","Land Rover",2001,85225,0.57
"295","Seat",2001,410327,2.73
"296","Skoda",2001,252822,1.68
"297","Subaru",2001,36393,0.24
"298","Suzuki",2001,170662,1.13
"299","Toyota",2001,585711,3.58
"300","Volkswagen",2001,1613585,10.72
"301","Volvo",2001,223684,1.49
"302","Alfa Romeo",2002,169820,1.16
"303","Aston Martin",2002,796,0.01
"304","Audi",2002,549385,3.74
"305","BMW",2002,516000,3.51
"306","Citroen",2002,895487,6.1
"307","Ferrari",2002,2034,0.01
"308","Fiat",2002,902682,6.15
"309","Ford",2002,1289624,8.78
"310","Honda",2002,184011,1.25
"311","Hyundai",2002,233436,1.59
"312","Jaguar",2002,52385,0.36
"313","Jeep",2002,42945,0.29
"314","Kia",2002,77265,0.53
"315","Lancia",2002,109896,0.75
"316","Lexus",2002,19435,0.13
"317","Mazda",2002,159970,1.09
"318","Mercedes Benz",2002,741148,5.05
"319","Mini",2002,105730,0.72
