"","Znamka","Leto","St.prodanih","Delez.na.trgu(%)"
"751","BMW",2016,816888,5.44
"752","Citroen",2016,541047,3.6
"753","Dacia",2016,412284,2.75
"754","Ferrari",2016,2701,0.02
"755","Fiat",2016,740622,4.93
"756","Ford",2016,1041431,6.94
"757","Honda",2016,158983,1.06
"758","Hyundai",2016,498386,3.32
"759","Jaguar",2016,67134,0.45
"760","Jeep",2016,103897,0.69
"761","Kia",2016,430945,2.87
"762","Lancia",2016,67059,0.45
"763","Lexus",2016,44287,0.29
"764","Mazda",2016,233354,1.55
"765","Mercedes Benz",2016,839412,5.59
"766","Mini",2016,208317,1.39
"767","Nissan",2016,547343,3.65
"768","Opel",2016,984769,6.56
"769","Peugeot",2016,860911,5.73
"770","Porsche",2016,69119,0.46
"771","Renault",2016,1094374,7.29
"772","Land Rover",2016,166777,1.11
"773","Seat",2016,348138,2.32
"774","Skoda",2016,654562,4.36
"775","Subaru",2016,37189,0.25
"776","Suzuki",2016,198508,1.32
"777","Toyota",2016,595539,3.97
"778","Volkswagen",2016,1704547,11.35
"779","Volvo",2016,289747,1.91
