"","Drzava","Leto","Stevilo"
"975","Poland",2008,439382
"976","Poland",2008,454536
"977","Romania",2008,586476
"978","Slovenia",2008,71037
"979","Slovakia",2008,151814
"980","Finland",2008,140216
"981","Finland",2008,1761
"982","Finland",2008,19682
"983","Finland",2008,64193
"984","Finland",2008,54030
"985","Sweden",2008,257806
"986","Sweden",2008,8513
"987","Sweden",2008,30085
"988","Sweden",2008,83348
"989","Sweden",2008,135860
"990","United Kingdom",2008,2112000
"991","Liechtenstein",2008,2005
"992","Liechtenstein",2008,62
"993","Liechtenstein",2008,336
"994","Liechtenstein",2008,472
"995","Liechtenstein",2008,1135
"996","Norway",2008,138241
"997","Norway",2008,5037
"998","Norway",2008,19667
"999","Norway",2008,56865
"1000","Norway",2008,56672
"1001","Switzerland",2008,288000
"1002","Switzerland",2008,13800
"1003","Switzerland",2008,56500
"1004","Switzerland",2008,80400
"1005","Switzerland",2008,137300
"1006","Turkey",2008,353168
"1007","Belgium",2009,479920
"1008","Bulgaria",2009,201304
"1009","Czech Republic",2009,160614
"1010","Germany (until 1990 former territory of the FRG)",2009,3807175
"1011","Estonia",2009,9948
"1012","Estonia",2009,102
"1013","Estonia",2009,1277
"1014","Estonia",2009,4606
"1015","Estonia",2009,3963
"1016","Spain",2009,971177
"1017","Spain",2009,63745
"1018","Spain",2009,190605
"1019","Spain",2009,275269
"1020","Spain",2009,441558
"1021","France",2009,2269011
"1022","France",2009,455091
"1023","France",2009,795727
"1024","France",2009,720559
"1025","France",2009,297634
"1026","Croatia",2009,53569
"1027","Croatia",2009,3987
"1028","Croatia",2009,18859
"1029","Croatia",2009,19285
"1030","Croatia",2009,11438
"1031","Italy",2009,2176940
"1032","Cyprus",2009,37494
"1033","Cyprus",2009,2909
"1034","Cyprus",2009,10854
"1035","Cyprus",2009,12647
"1036","Cyprus",2009,11084
"1037","Latvia",2009,17288
"1038","Latvia",2009,295
"1039","Latvia",2009,2867
"1040","Latvia",2009,6386
"1041","Latvia",2009,7740
"1042","Lithuania",2009,136803
"1043","Lithuania",2009,4372
"1044","Lithuania",2009,31063
"1045","Lithuania",2009,57292
"1046","Lithuania",2009,44076
"1047","Luxembourg",2009,47264
"1048","Malta",2009,15816
"1049","Malta",2009,316
"1050","Malta",2009,1993
"1051","Malta",2009,6532
"1052","Malta",2009,6975
"1053","Austria",2009,319403
"1054","Austria",2009,43316
"1055","Austria",2009,100243
"1056","Austria",2009,98153
"1057","Austria",2009,77692
"1058","Poland",2009,864295
"1059","Poland",2009,47204
"1060","Poland",2009,191557
"1061","Poland",2009,307835
"1062","Poland",2009,317699
"1063","Portugal",2009,181132
"1064","Romania",2009,328880
"1065","Slovenia",2009,57391
"1066","Slovakia",2009,148370
"1067","Finland",2009,90923
"1068","Finland",2009,1350
"1069","Finland",2009,12858
"1070","Finland",2009,39202
"1071","Finland",2009,37180
"1072","Sweden",2009,212695
"1073","Sweden",2009,6354
"1074","Sweden",2009,27893
"1075","Sweden",2009,63844
"1076","Sweden",2009,114604
"1077","United Kingdom",2009,1968000
"1078","Liechtenstein",2009,1620
"1079","Liechtenstein",2009,67
"1080","Liechtenstein",2009,283
"1081","Liechtenstein",2009,396
"1082","Liechtenstein",2009,874
"1083","Norway",2009,125903
"1084","Norway",2009,6701
"1085","Norway",2009,18237
"1086","Norway",2009,43724
"1087","Norway",2009,57241
"1088","Switzerland",2009,266500
"1089","Switzerland",2009,13300
"1090","Switzerland",2009,54200
"1091","Switzerland",2009,75600
"1092","Switzerland",2009,123400
"1093","Turkey",2009,357986
"1094","Belgium",2010,551661
"1095","Bulgaria",2010,186092
"1096","Czech Republic",2010,168372
"1097","Germany (until 1990 former territory of the FRG)",2010,2916260
"1098","Estonia",2010,10294
"1099","Estonia",2010,98
"1100","Estonia",2010,1366
"1101","Estonia",2010,4550
"1102","Estonia",2010,4280
"1103","Greece",2010,153847
"1104","Spain",2010,1000010
"1105","Spain",2010,89015
"1106","Spain",2010,286414
"1107","Spain",2010,421096
"1108","Spain",2010,203485
"1109","France",2010,2210186
"1110","France",2010,354252
"1111","France",2010,854789
"1112","France",2010,669019
"1113","France",2010,332017
"1114","Croatia",2010,46437
"1115","Croatia",2010,3133
"1116","Croatia",2010,16970
"1117","Croatia",2010,17318
"1118","Croatia",2010,9016
"1119","Italy",2010,1971830
"1120","Cyprus",2010,32680
"1121","Cyprus",2010,2842
"1122","Cyprus",2010,9481
"1123","Cyprus",2010,11123
"1124","Cyprus",2010,9234
"1125","Latvia",2010,26656
"1126","Latvia",2010,402
"1127","Latvia",2010,4193
"1128","Latvia",2010,10010
"1129","Latvia",2010,12051
"1130","Lithuania",2010,161266
"1131","Lithuania",2010,3434
"1132","Lithuania",2010,29307
"1133","Lithuania",2010,66460
"1134","Lithuania",2010,62075
"1135","Luxembourg",2010,49726
"1136","Hungary",2010,61324
"1137","Hungary",2010,5723
"1138","Hungary",2010,18817
"1139","Hungary",2010,21079
"1140","Hungary",2010,15705
"1141","Malta",2010,13605
"1142","Malta",2010,181
"1143","Malta",2010,1292
"1144","Malta",2010,5954
"1145","Malta",2010,6178
"1146","Netherlands",2010,482633
"1147","Austria",2010,328563
"1148","Austria",2010,40490
"1149","Austria",2010,91545
"1150","Austria",2010,110597
"1151","Austria",2010,85931
"1152","Poland",2010,873098
"1153","Poland",2010,45982
"1154","Poland",2010,186598
"1155","Poland",2010,315799
"1156","Poland",2010,324719
"1157","Portugal",2010,248813
"1158","Romania",2010,309952
"1159","Romania",2010,32904
"1160","Romania",2010,134694
"1161","Romania",2010,96297
"1162","Romania",2010,46057
"1163","Slovenia",2010,60777
"1164","Slovakia",2010,126663
"1165","Finland",2010,112418
"1166","Finland",2010,1747
"1167","Finland",2010,18913
"1168","Finland",2010,50210
"1169","Finland",2010,41102
"1170","Sweden",2010,308718
"1171","Sweden",2010,7562
"1172","Sweden",2010,44464
"1173","Sweden",2010,83701
"1174","Sweden",2010,172991
"1175","United Kingdom",2010,1996324
"1176","Liechtenstein",2010,1782
"1177","Liechtenstein",2010,62
"1178","Liechtenstein",2010,278
"1179","Liechtenstein",2010,422
"1180","Liechtenstein",2010,1020
"1181","Norway",2010,159374
"1182","Norway",2010,9058
"1183","Norway",2010,28635
"1184","Norway",2010,54294
"1185","Norway",2010,67387
"1186","Switzerland",2010,296600
"1187","Switzerland",2010,12600
"1188","Switzerland",2010,64500
"1189","Switzerland",2010,83700
"1190","Switzerland",2010,135800
"1191","Turkey",2010,485619
"1192","Belgium",2011,577382
"1193","Bulgaria",2011,191430
"1194","Czech Republic",2011,172787
"1195","Germany (until 1990 former territory of the FRG)",2011,3173634
"1196","Estonia",2011,17058
"1197","Estonia",2011,88
"1198","Estonia",2011,2217
"1199","Estonia",2011,6345
"1200","Estonia",2011,8408
"1201","Ireland",2011,104022
"1202","Greece",2011,107737
"1203","Spain",2011,817688
"1204","Spain",2011,64806
"1205","Spain",2011,245616
"1206","Spain",2011,332291
"1207","Spain",2011,174975
"1208","France",2011,2160928
"1209","France",2011,320073
"1210","France",2011,751195
"1211","France",2011,721673
"1212","France",2011,367822
"1213","Croatia",2011,48883
"1214","Croatia",2011,3282
"1215","Croatia",2011,16366
"1216","Croatia",2011,19776
"1217","Croatia",2011,9459
"1218","Italy",2011,1764592
"1219","Cyprus",2011,27929
"1220","Cyprus",2011,1900
"1221","Cyprus",2011,7828
"1222","Cyprus",2011,10711
"1223","Cyprus",2011,7490
"1224","Latvia",2011,43468
"1225","Latvia",2011,600
"1226","Latvia",2011,5525
"1227","Latvia",2011,15891
"1228","Latvia",2011,21452
"1229","Lithuania",2011,132117
"1230","Lithuania",2011,2174
"1231","Lithuania",2011,20126
"1232","Lithuania",2011,54409
"1233","Lithuania",2011,55408
"1234","Luxembourg",2011,49881
"1235","Hungary",2011,76528
"1236","Hungary",2011,6913
"1237","Hungary",2011,21756
"1238","Hungary",2011,27360
"1239","Hungary",2011,20499
"1240","Malta",2011,15875
"1241","Malta",2011,239
"1242","Malta",2011,1617
"1243","Malta",2011,5024
"1244","Malta",2011,8995
"1245","Netherlands",2011,555846
"1246","Austria",2011,356145
"1247","Austria",2011,36616
"1248","Austria",2011,87834
"1249","Austria",2011,122706
"1250","Austria",2011,108989
"1251","Poland",2011,928457
"1252","Poland",2011,45139
"1253","Poland",2011,191140
"1254","Poland",2011,326470
"1255","Poland",2011,365708
"1256","Portugal",2011,177183
"1257","Romania",2011,176555
"1258","Romania",2011,17820
"1259","Romania",2011,71179
"1260","Romania",2011,56378
"1261","Romania",2011,31178
"1262","Slovenia",2011,59813
"1263","Slovakia",2011,130772
"1264","Finland",2011,126651
"1265","Finland",2011,2075
"1266","Finland",2011,19275
"1267","Finland",2011,50019
"1268","Finland",2011,54760
"1269","Sweden",2011,326615
"1270","Sweden",2011,7216
"1271","Sweden",2011,43578
"1272","Sweden",2011,87496
"1273","Sweden",2011,188325
"1274","United Kingdom",2011,1907411
"1275","Liechtenstein",2011,2029
"1276","Liechtenstein",2011,61
"1277","Liechtenstein",2011,373
"1278","Liechtenstein",2011,506
"1279","Liechtenstein",2011,1089
"1280","Norway",2011,168552
"1281","Norway",2011,9144
"1282","Norway",2011,31040
"1283","Norway",2011,61481
"1284","Norway",2011,66887
"1285","Switzerland",2011,328000
"1286","Switzerland",2011,10500
"1287","Switzerland",2011,66000
"1288","Switzerland",2011,94300
"1289","Switzerland",2011,157300
"1290","Turkey",2011,602248
"1291","Belgium",2012,490711
"1292","Bulgaria",2012,196614
"1293","Czech Republic",2012,174311
"1294","Germany (until 1990 former territory of the FRG)",2012,3082504
"1295","Estonia",2012,19422
"1296","Estonia",2012,133
"1297","Estonia",2012,2666
"1298","Estonia",2012,7230
"1299","Estonia",2012,9393
"1300","Ireland",2012,77506
"1301","Greece",2012,64301
"1302","Spain",2012,710638
"1303","Spain",2012,95345
"1304","Spain",2012,207930
"1305","Spain",2012,253325
"1306","Spain",2012,154038
"1307","France",2012,1857013
"1308","France",2012,258194
"1309","France",2012,644537
"1310","France",2012,608336
"1311","France",2012,345355
"1312","Croatia",2012,40825
"1313","Croatia",2012,3203
"1314","Croatia",2012,12594
"1315","Croatia",2012,15803
"1316","Croatia",2012,9210
"1317","Italy",2012,1403043
"1318","Cyprus",2012,20556
"1319","Cyprus",2012,1722
"1320","Cyprus",2012,6239
"1321","Cyprus",2012,7626
"1322","Cyprus",2012,4969
"1323","Latvia",2012,50135
"1324","Latvia",2012,553
"1325","Latvia",2012,4983
"1326","Latvia",2012,16421
"1327","Latvia",2012,28178
"1328","Lithuania",2012,153024
"1329","Lithuania",2012,2145
"1330","Lithuania",2012,19766
"1331","Lithuania",2012,60598
"1332","Lithuania",2012,70515
"1333","Luxembourg",2012,50398
"1334","Hungary",2012,106671
"1335","Hungary",2012,11396
"1336","Hungary",2012,29657
"1337","Hungary",2012,35289
"1338","Hungary",2012,30329
"1339","Malta",2012,13037
"1340","Malta",2012,169
"1341","Malta",2012,1051
"1342","Malta",2012,4063
"1343","Malta",2012,7754
"1344","Netherlands",2012,502479
"1345","Austria",2012,336010
"1346","Austria",2012,35161
"1347","Austria",2012,78824
"1348","Austria",2012,114698
"1349","Austria",2012,107327
"1350","Poland",2012,908906
"1351","Poland",2012,44296
"1352","Poland",2012,181179
"1353","Poland",2012,300929
"1354","Poland",2012,382502
"1355","Portugal",2012,110002
"1356","Romania",2012,242025
"1357","Romania",2012,25179
"1358","Romania",2012,78420
"1359","Romania",2012,82381
"1360","Romania",2012,56045
"1361","Slovenia",2012,49700
"1362","Slovakia",2012,130818
"1363","Finland",2012,111664
"1364","Finland",2012,2446
"1365","Finland",2012,18337
"1366","Finland",2012,41036
"1367","Finland",2012,49448
"1368","Sweden",2012,301316
"1369","Sweden",2012,7031
"1370","Sweden",2012,38966
"1371","Sweden",2012,75401
"1372","Sweden",2012,179918
"1373","Liechtenstein",2012,2108
"1374","Liechtenstein",2012,81
"1375","Liechtenstein",2012,337
"1376","Liechtenstein",2012,489
"1377","Liechtenstein",2012,1201
"1378","Norway",2012,171828
"1379","Norway",2012,9943
"1380","Norway",2012,30467
"1381","Norway",2012,62516
"1382","Norway",2012,68902
"1383","Switzerland",2012,334000
"1384","Switzerland",2012,12900
"1385","Switzerland",2012,60800
"1386","Switzerland",2012,88800
"1387","Switzerland",2012,171600
"1388","Turkey",2012,565791
"1389","Belgium",2013,490369
"1390","Bulgaria",2013,199963
"1391","Czech Republic",2013,164627
"1392","Germany (until 1990 former territory of the FRG)",2013,2952431
"1393","Estonia",2013,19690
"1394","Estonia",2013,146
"1395","Estonia",2013,2641
"1396","Estonia",2013,7172
"1397","Estonia",2013,9731
"1398","Greece",2013,64932
"1399","Spain",2013,742305
"1400","Spain",2013,191855
"1401","Spain",2013,206532
"1402","Spain",2013,206592
"1403","Spain",2013,137326
"1404","France",2013,1756953
"1405","France",2013,244518
"1406","France",2013,698874
"1407","France",2013,542732
"1408","France",2013,270829
"1409","Croatia",2013,46563
"1410","Croatia",2013,3221
"1411","Croatia",2013,14158
"1412","Croatia",2013,17786
"1413","Croatia",2013,11398
"1414","Italy",2013,1311334
"1415","Cyprus",2013,14771
"1416","Cyprus",2013,1872
"1417","Cyprus",2013,4533
"1418","Cyprus",2013,4755
"1419","Cyprus",2013,3611
"1420","Latvia",2013,55808
"1421","Latvia",2013,524
"1422","Latvia",2013,4480
"1423","Latvia",2013,16976
"1424","Latvia",2013,33828
"1425","Lithuania",2013,155855
"1426","Lithuania",2013,2059
"1427","Lithuania",2013,17770
"1428","Lithuania",2013,57733
"1429","Lithuania",2013,78293
"1430","Hungary",2013,126937
"1431","Hungary",2013,11909
"1432","Hungary",2013,33365
"1433","Hungary",2013,43548
"1434","Hungary",2013,38115
"1435","Malta",2013,13094
"1436","Malta",2013,193
"1437","Malta",2013,1309
"1438","Malta",2013,3957
"1439","Malta",2013,7635
"1440","Netherlands",2013,416717
"1441","Austria",2013,319035
"1442","Austria",2013,26119
"1443","Austria",2013,83281
"1444","Austria",2013,107371
"1445","Austria",2013,102264
"1446","Poland",2013,987809
"1447","Poland",2013,45838
"1448","Poland",2013,195062
"1449","Poland",2013,325764
"1450","Poland",2013,421145
"1451","Romania",2013,279740
"1452","Romania",2013,23609
"1453","Romania",2013,92534
"1454","Romania",2013,101822
"1455","Romania",2013,61775
"1456","Slovenia",2013,51968
"1457","Slovakia",2013,113876
"1458","Finland",2013,103450
"1459","Finland",2013,1963
"1460","Finland",2013,18884
"1461","Finland",2013,39464
"1462","Finland",2013,43139
"1463","Sweden",2013,292162
"1464","Sweden",2013,6414
"1465","Sweden",2013,41657
"1466","Sweden",2013,70605
"1467","Sweden",2013,173486
"1468","Liechtenstein",2013,1920
"1469","Liechtenstein",2013,91
"1470","Liechtenstein",2013,330
"1471","Liechtenstein",2013,429
"1472","Liechtenstein",2013,1070
"1473","Norway",2013,176019
"1474","Norway",2013,10896
"1475","Norway",2013,33623
"1476","Norway",2013,62946
"1477","Norway",2013,68554
"1478","Switzerland",2013,310200
"1479","Switzerland",2013,9900
"1480","Switzerland",2013,60600
"1481","Switzerland",2013,85000
"1482","Switzerland",2013,154700
"1483","Turkey",2013,654905
"1484","Bulgaria",2014,211033
"1485","Germany (until 1990 former territory of the FRG)",2014,3036773
"1486","Estonia",2014,21128
"1487","Estonia",2014,159
"1488","Estonia",2014,3235
"1489","Estonia",2014,8051
"1490","Estonia",2014,9683
"1491","Ireland",2014,84136
"1492","Greece",2014,84445
"1493","France",2014,1765855
"1494","France",2014,271160
"1495","France",2014,700863
"1496","France",2014,561340
"1497","France",2014,232492
"1498","Croatia",2014,68522
"1499","Croatia",2014,5365
"1500","Croatia",2014,19449
"1501","Croatia",2014,28313
"1502","Croatia",2014,15395
"1503","Cyprus",2014,17933
"1504","Cyprus",2014,3366
"1505","Cyprus",2014,5194
"1506","Cyprus",2014,4534
"1507","Cyprus",2014,4839
"1508","Latvia",2014,13173
"1509","Latvia",2014,202
"1510","Latvia",2014,1601
"1511","Latvia",2014,5203
"1512","Latvia",2014,6167
"1513","Lithuania",2014,139438
"1514","Lithuania",2014,2968
"1515","Lithuania",2014,13721
"1516","Lithuania",2014,48189
"1517","Lithuania",2014,74560
"1518","Hungary",2014,164420
"1519","Hungary",2014,14640
"1520","Hungary",2014,41977
"1521","Hungary",2014,56818
"1522","Hungary",2014,50985
"1523","Malta",2014,15439
"1524","Malta",2014,187
"1525","Malta",2014,2075
"1526","Malta",2014,5113
"1527","Malta",2014,8064
"1528","Austria",2014,303318
"1529","Austria",2014,23455
"1530","Austria",2014,82829
"1531","Austria",2014,102218
"1532","Austria",2014,94816
"1533","Poland",2014,1047598
"1534","Poland",2014,44492
"1535","Poland",2014,198013
"1536","Poland",2014,343346
"1537","Poland",2014,461747
"1538","Portugal",2014,199288
"1539","Slovenia",2014,54086
"1540","Slovakia",2014,125813
"1541","Finland",2014,106235
"1542","Finland",2014,1635
"1543","Finland",2014,19695
"1544","Finland",2014,43868
"1545","Finland",2014,41037
"1546","Sweden",2014,324030
"1547","Sweden",2014,6005
"1548","Sweden",2014,47081
"1549","Sweden",2014,85690
"1550","Sweden",2014,185254
"1551","Liechtenstein",2014,1800
"1552","Liechtenstein",2014,60
"1553","Liechtenstein",2014,282
"1554","Liechtenstein",2014,395
"1555","Liechtenstein",2014,1063
"1556","Norway",2014,172042
"1557","Norway",2014,7739
"1558","Norway",2014,36516
"1559","Norway",2014,60817
"1560","Norway",2014,66970
"1561","Switzerland",2014,304100
"1562","Switzerland",2014,9200
"1563","Switzerland",2014,58700
"1564","Switzerland",2014,84200
"1565","Switzerland",2014,152000
"1566","Turkey",2014,585814
"1567","Turkey",2014,1170
"1568","Turkey",2014,178508
"1569","Turkey",2014,312923
"1570","Turkey",2014,93213
