"","Drzava","Leto","Stevilo"
"219","Bulgaria",1998,70797
"220","Denmark",1998,162708
"221","Germany (until 1990 former territory of the FRG)",1998,3735987
"222","Estonia",1998,8400
"223","Ireland",1998,138538
"224","Greece",1998,183657
"225","Spain",1998,1282970
"226","France",1998,1943553
"227","France",1998,699634
"228","France",1998,681762
"229","France",1998,423755
"230","France",1998,138402
"231","Croatia",1998,85893
"232","Italy",1998,2437718
"233","Cyprus",1998,24856
"234","Latvia",1998,57363
"235","Lithuania",1998,147105
"236","Luxembourg",1998,36353
"237","Hungary",1998,101328
"238","Malta",1998,10750
"239","Netherlands",1998,543110
"240","Austria",1998,295865
"241","Poland",1998,557783
"242","Portugal",1998,323981
"243","Romania",1998,105986
"244","Slovenia",1998,71022
"245","Slovakia",1998,76007
"246","Finland",1998,126386
"247","Finland",1998,9780
"248","Finland",1998,52965
"249","Finland",1998,51615
"250","Finland",1998,11386
"251","Sweden",1998,286671
"252","United Kingdom",1998,2362589
"253","Iceland",1998,15064
"254","Liechtenstein",1998,2
"255","Norway",1998,141090
"256","Switzerland",1998,295165
"257","Turkey",1998,271843
"258","Belgium",1999,504203
"259","Bulgaria",1999,103459
"260","Denmark",1999,144259
"261","Germany (until 1990 former territory of the FRG)",1999,3802176
"262","Estonia",1999,6864
"263","Ireland",1999,170322
"264","Greece",1999,268716
"265","Spain",1999,1502531
"266","France",1999,2148423
"267","France",1999,717887
"268","France",1999,743891
"269","France",1999,524282
"270","France",1999,162363
"271","Croatia",1999,89846
"272","Italy",1999,2312309
"273","Cyprus",1999,20133
"274","Latvia",1999,45861
"275","Lithuania",1999,142069
"276","Luxembourg",1999,40989
"277","Hungary",1999,126085
"278","Hungary",1999,59009
"279","Hungary",1999,54260
"280","Hungary",1999,10449
"281","Hungary",1999,2369
"282","Malta",1999,13341
"283","Netherlands",1999,611776
"284","Austria",1999,314182
"285","Austria",1999,46919
"286","Austria",1999,100460
"287","Austria",1999,123374
"288","Austria",1999,43429
"289","Poland",1999,599250
"290","Portugal",1999,351575
"291","Romania",1999,90047
"292","Slovenia",1999,81869
"293","Slovakia",1999,58152
"294","Finland",1999,137017
"295","Finland",1999,9838
"296","Finland",1999,59903
"297","Finland",1999,53119
"298","Finland",1999,13461
"299","Sweden",1999,327710
"300","Sweden",1999,11239
"301","Sweden",1999,69247
"302","Sweden",1999,132186
"303","Sweden",1999,115019
"304","United Kingdom",1999,2414660
"305","Iceland",1999,17007
"306","Iceland",1999,2149
"307","Iceland",1999,6769
"308","Iceland",1999,4157
"309","Iceland",1999,3932
"310","Liechtenstein",1999,2
"311","Norway",1999,123843
"312","Switzerland",1999,314691
"313","Belgium",2000,531640
"314","Bulgaria",2000,98185
"315","Denmark",2000,113631
"316","Germany (until 1990 former territory of the FRG)",2000,3378343
"317","Estonia",2000,10240
"318","Estonia",2000,495
"319","Estonia",2000,4743
"320","Estonia",2000,3395
"321","Estonia",2000,1607
"322","Ireland",2000,225269
"323","Greece",2000,302620
"324","Spain",2000,1467160
"325","France",2000,2133884
"326","France",2000,645293
"327","France",2000,767057
"328","France",2000,570015
"329","France",2000,151519
"330","Croatia",2000,92759
"331","Italy",2000,2359674
"332","Cyprus",2000,19056
"333","Cyprus",2000,7955
"334","Cyprus",2000,7400
"335","Cyprus",2000,1908
"336","Cyprus",2000,1793
"337","Latvia",2000,35745
"338","Latvia",2000,5573
"339","Latvia",2000,16839
"340","Latvia",2000,9146
"341","Latvia",2000,4187
"342","Lithuania",2000,115808
"343","Luxembourg",2000,42304
"344","Hungary",2000,130323
"345","Hungary",2000,55037
"346","Hungary",2000,58167
"347","Hungary",2000,14392
"348","Hungary",2000,2727
"349","Malta",2000,13055
"350","Malta",2000,30
"351","Malta",2000,1730
"352","Malta",2000,5769
"353","Malta",2000,5527
"354","Netherlands",2000,597623
"355","Austria",2000,309427
"356","Austria",2000,41570
"357","Austria",2000,93747
"358","Austria",2000,124112
"359","Austria",2000,49998
"360","Poland",2000,519407
"361","Portugal",2000,340397
"362","Slovenia",2000,64846
"363","Slovakia",2000,54352
"364","Finland",2000,135243
"365","Finland",2000,10323
"366","Finland",2000,47648
"367","Finland",2000,57752
"368","Finland",2000,18871
"369","Sweden",2000,342965
"370","Sweden",2000,12841
"371","Sweden",2000,66330
"372","Sweden",2000,134079
"373","Sweden",2000,129715
"374","United Kingdom",2000,2432149
"375","Iceland",2000,14769
"376","Iceland",2000,1765
"377","Iceland",2000,5026
"378","Iceland",2000,4214
"379","Iceland",2000,3764
"380","Liechtenstein",2000,2
"381","Liechtenstein",2000,0
"382","Liechtenstein",2000,0
"383","Liechtenstein",2000,1
"384","Liechtenstein",2000,1
"385","Norway",2000,126978
"386","Switzerland",2000,314482
"387","Turkey",2000,354013
"388","Belgium",2001,499779
"389","Bulgaria",2001,117333
"390","Denmark",2001,96114
"391","Germany (until 1990 former territory of the FRG)",2001,3341718
"392","Estonia",2001,12822
"393","Estonia",2001,776
"394","Estonia",2001,5454
"395","Estonia",2001,4350
"396","Estonia",2001,2242
"397","Ireland",2001,160908
"398","Greece",2001,289943
"399","Spain",2001,1498899
"400","France",2001,2254732
"401","France",2001,589261
"402","France",2001,754582
"403","France",2001,736334
"404","France",2001,174555
"405","Croatia",2001,108484
"406","Italy",2001,2379980
"407","Cyprus",2001,24533
"408","Cyprus",2001,10338
"409","Cyprus",2001,9164
"410","Cyprus",2001,2656
"411","Cyprus",2001,2375
"412","Latvia",2001,37850
"413","Latvia",2001,4531
"414","Latvia",2001,15601
"415","Latvia",2001,11204
"416","Latvia",2001,6514
"417","Lithuania",2001,71328
"418","Luxembourg",2001,43164
"419","Hungary",2001,137771
"420","Hungary",2001,57972
"421","Hungary",2001,58628
"422","Hungary",2001,17242
"423","Hungary",2001,3929
"424","Malta",2001,10295
"425","Malta",2001,11
"426","Malta",2001,2072
"427","Malta",2001,3504
"428","Malta",2001,4708
"429","Netherlands",2001,530287
"430","Austria",2001,293528
"431","Austria",2001,36971
"432","Austria",2001,80522
"433","Austria",2001,122473
"434","Austria",2001,53562
"435","Poland",2001,450095
"436","Portugal",2001,302763
"437","Slovenia",2001,55432
"438","Slovakia",2001,66759
"439","Finland",2001,109911
"440","Finland",2001,7229
"441","Finland",2001,35023
"442","Finland",2001,47287
"443","Finland",2001,19888
"444","Sweden",2001,280280
"445","Sweden",2001,6341
"446","Sweden",2001,48639
"447","Sweden",2001,99412
"448","Sweden",2001,125888
"449","United Kingdom",2001,2663288
"450","Iceland",2001,7669
"451","Iceland",2001,792
"452","Iceland",2001,2133
"453","Iceland",2001,2803
"454","Iceland",2001,1941
"455","Liechtenstein",2001,2
"456","Liechtenstein",2001,0
"457","Liechtenstein",2001,0
"458","Liechtenstein",2001,1
"459","Liechtenstein",2001,1
"460","Switzerland",2001,314580
"461","Turkey",2001,117196
"462","Belgium",2002,472830
"463","Bulgaria",2002,121512
"464","Denmark",2002,111598
"465","Germany (until 1990 former territory of the FRG)",2002,3252898
"466","Estonia",2002,14701
"467","Estonia",2002,549
"468","Estonia",2002,5363
"469","Estonia",2002,5761
"470","Estonia",2002,3028
"471","Ireland",2002,150485
"472","Greece",2002,277567
"473","Spain",2002,1408426
"474","France",2002,2145071
"475","France",2002,503249
"476","France",2002,680477
"477","France",2002,772313
"478","France",2002,189032
"479","Croatia",2002,94989
"480","Italy",2002,2235948
"481","Cyprus",2002,28101
"482","Cyprus",2002,10376
"483","Cyprus",2002,11300
"484","Cyprus",2002,4291
"485","Cyprus",2002,2134
"486","Latvia",2002,40335
"487","Latvia",2002,3944
"488","Latvia",2002,16540
"489","Latvia",2002,12189
"490","Latvia",2002,7662
"491","Lithuania",2002,93305
"492","Lithuania",2002,19134
"493","Lithuania",2002,41081
"494","Lithuania",2002,23854
"495","Lithuania",2002,9236
"496","Luxembourg",2002,43677
"497","Hungary",2002,160238
"498","Hungary",2002,64247
"499","Hungary",2002,70182
"500","Hungary",2002,20456
"501","Hungary",2002,5353
"502","Malta",2002,10267
"503","Malta",2002,44
"504","Malta",2002,2647
"505","Malta",2002,2744
"506","Malta",2002,4832
"507","Netherlands",2002,510744
"508","Austria",2002,279493
"509","Austria",2002,30707
"510","Austria",2002,75438
"511","Austria",2002,112971
"512","Austria",2002,60377
"513","Poland",2002,421167
"514","Poland",2002,120628
"515","Poland",2002,183288
"516","Poland",2002,84443
"517","Poland",2002,32808
"518","Portugal",2002,267374
"519","Slovenia",2002,52310
"520","Slovakia",2002,67298
"521","Finland",2002,117486
"522","Finland",2002,8049
"523","Finland",2002,35362
"524","Finland",2002,50915
"525","Finland",2002,22708
"526","Sweden",2002,281446
"527","Sweden",2002,4286
"528","Sweden",2002,46496
"529","Sweden",2002,96931
"530","Sweden",2002,133733
"531","United Kingdom",2002,2756342
"532","Iceland",2002,7375
"533","Iceland",2002,694
"534","Iceland",2002,1841
"535","Iceland",2002,2903
"536","Iceland",2002,1937
"537","Liechtenstein",2002,2
"538","Liechtenstein",2002,0
"539","Liechtenstein",2002,0
"540","Liechtenstein",2002,1
"541","Liechtenstein",2002,1
"542","Switzerland",2002,293034
"543","Turkey",2002,170191
"544","Belgium",2003,463173
"545","Bulgaria",2003,143480
"546","Czech Republic",2003,144849
"547","Germany (until 1990 former territory of the FRG)",2003,3236938
"548","Estonia",2003,15824
"549","Estonia",2003,466
"550","Estonia",2003,5103
"551","Estonia",2003,6595
"552","Estonia",2003,3660
"553","Ireland",2003,142992
"554","Greece",2003,272515
"555","France",2003,2009246
"556","France",2003,442001
"557","France",2003,589925
"558","France",2003,754042
"559","France",2003,223278
"560","Croatia",2003,104399
"561","Cyprus",2003,29961
"562","Cyprus",2003,10019
"563","Cyprus",2003,13026
"564","Cyprus",2003,4907
"565","Cyprus",2003,2009
"566","Latvia",2003,50290
"567","Latvia",2003,3875
"568","Latvia",2003,20226
"569","Latvia",2003,16000
"570","Latvia",2003,10189
"571","Lithuania",2003,118263
"572","Lithuania",2003,21947
"573","Lithuania",2003,53708
"574","Lithuania",2003,30410
"575","Lithuania",2003,12198
"576","Luxembourg",2003,43765
"577","Hungary",2003,190107
"578","Hungary",2003,73880
"579","Hungary",2003,84924
"580","Hungary",2003,24116
"581","Hungary",2003,7187
"582","Netherlands",2003,488977
"583","Austria",2003,300121
"584","Austria",2003,29128
"585","Austria",2003,80882
"586","Austria",2003,118692
"587","Austria",2003,71419
"588","Poland",2003,274392
"589","Poland",2003,72927
"590","Poland",2003,111138
"591","Poland",2003,65310
"592","Poland",2003,25017
"593","Slovenia",2003,55314
"594","Slovakia",2003,71954
"595","Finland",2003,148020
"596","Finland",2003,7352
"597","Finland",2003,40294
"598","Finland",2003,69911
"599","Finland",2003,29809
"600","Sweden",2003,293035
"601","Sweden",2003,3449
"602","Sweden",2003,46250
"603","Sweden",2003,96831
"604","Sweden",2003,146505
"605","United Kingdom",2003,2720096
"606","Iceland",2003,10833
"607","Iceland",2003,793
"608","Iceland",2003,2650
"609","Iceland",2003,3987
"610","Iceland",2003,3403
"611","Liechtenstein",2003,1770
"612","Liechtenstein",2003,60
"613","Liechtenstein",2003,360
"614","Liechtenstein",2003,480
"615","Liechtenstein",2003,870
"616","Switzerland",2003,269711
"617","Turkey",2003,176217
"618","Belgium",2004,489346
"619","Bulgaria",2004,150803
"620","Czech Republic",2004,123579
"621","Germany (until 1990 former territory of the FRG)",2004,3266826
"622","Estonia",2004,16514
"623","Estonia",2004,396
"624","Estonia",2004,4687
"625","Estonia",2004,7048
"626","Estonia",2004,4383
"627","Ireland",2004,149635
"628","France",2004,2013709
"629","France",2004,410603
"630","France",2004,544747
"631","France",2004,776691
"632","France",2004,281668
"633","Croatia",2004,99863
"634","Cyprus",2004,43842
"635","Latvia",2004,57474
"636","Latvia",2004,3374
"637","Latvia",2004,20195
"638","Latvia",2004,19812
