"","Drzava","Leto","Teza","Vrednost"
"611","Turkey",2010,"From 1 250 to 1 499 kg",1251192
"612","Turkey",2010,"1 500 kg or over",348736
"613","Estonia",2011,"Less than 1 000 kg",46600
"614","Estonia",2011,"From 1 000 to 1 249 kg",180600
"615","Estonia",2011,"From 1 250 to 1 499 kg",185300
"616","Estonia",2011,"1 500 kg or over",161500
"617","Spain",2011,"Less than 1 000 kg",5036000
"618","Spain",2011,"From 1 000 to 1 249 kg",7601000
"619","Spain",2011,"From 1 250 to 1 499 kg",7086000
"620","Spain",2011,"1 500 kg or over",2555000
"621","Croatia",2011,"Less than 1 000 kg",469000
"622","Croatia",2011,"From 1 000 to 1 249 kg",568000
"623","Croatia",2011,"From 1 250 to 1 499 kg",341000
"624","Croatia",2011,"1 500 kg or over",140000
"625","Cyprus",2011,"Less than 1 000 kg",129000
"626","Cyprus",2011,"From 1 000 to 1 249 kg",158000
"627","Cyprus",2011,"From 1 250 to 1 499 kg",112000
"628","Cyprus",2011,"1 500 kg or over",71000
"629","Latvia",2011,"Less than 1 000 kg",45180
"630","Latvia",2011,"From 1 000 to 1 249 kg",187690
"631","Latvia",2011,"From 1 250 to 1 499 kg",201250
"632","Latvia",2011,"1 500 kg or over",178200
"633","Luxembourg",2011,"Less than 1 000 kg",17600
"634","Luxembourg",2011,"From 1 000 to 1 249 kg",73000
"635","Luxembourg",2011,"From 1 250 to 1 499 kg",109200
"636","Luxembourg",2011,"1 500 kg or over",145800
"637","Hungary",2011,"Less than 1 000 kg",1146410
"638","Hungary",2011,"From 1 000 to 1 249 kg",1115320
"639","Hungary",2011,"From 1 250 to 1 499 kg",456120
"640","Hungary",2011,"1 500 kg or over",249960
"641","Malta",2011,"Less than 1 000 kg",5709
"642","Malta",2011,"From 1 000 to 1 249 kg",65947
"643","Malta",2011,"From 1 250 to 1 499 kg",95082
"644","Malta",2011,"1 500 kg or over",80436
"645","Netherlands",2011,"Less than 1 000 kg",2651000
"646","Netherlands",2011,"From 1 000 to 1 249 kg",2440000
"647","Netherlands",2011,"From 1 250 to 1 499 kg",1950000
"648","Netherlands",2011,"1 500 kg or over",818000
"649","Austria",2011,"Less than 1 000 kg",627000
"650","Austria",2011,"From 1 000 to 1 249 kg",1349000
"651","Austria",2011,"From 1 250 to 1 499 kg",1520000
"652","Austria",2011,"1 500 kg or over",1017000
"653","Poland",2011,"Less than 1 000 kg",6039000
"654","Poland",2011,"From 1 000 to 1 249 kg",5614000
"655","Poland",2011,"From 1 250 to 1 499 kg",3625000
"656","Poland",2011,"1 500 kg or over",2847000
"657","Portugal",2011,"Less than 1 000 kg",28000
"658","Portugal",2011,"From 1 000 to 1 249 kg",267000
"659","Portugal",2011,"From 1 250 to 1 499 kg",1302000
"660","Portugal",2011,"1 500 kg or over",3057000
"661","Romania",2011,"Less than 1 000 kg",1481000
"662","Romania",2011,"From 1 000 to 1 249 kg",1428000
"663","Romania",2011,"From 1 250 to 1 499 kg",944000
"664","Romania",2011,"1 500 kg or over",482000
"665","Finland",2011,"Less than 1 000 kg",345000
"666","Finland",2011,"From 1 000 to 1 249 kg",854000
"667","Finland",2011,"From 1 250 to 1 499 kg",1076000
"668","Finland",2011,"1 500 kg or over",683000
"669","Sweden",2011,"Less than 1 000 kg",139940
"670","Sweden",2011,"From 1 000 to 1 249 kg",787193
"671","Sweden",2011,"From 1 250 to 1 499 kg",1580237
"672","Sweden",2011,"1 500 kg or over",1893180
"673","Liechtenstein",2011,"Less than 1 000 kg",1822
"674","Liechtenstein",2011,"From 1 000 to 1 249 kg",5325
"675","Liechtenstein",2011,"From 1 250 to 1 499 kg",7453
"676","Liechtenstein",2011,"1 500 kg or over",12727
"677","Norway",2011,"Less than 1 000 kg",239000
"678","Norway",2011,"From 1 000 to 1 249 kg",657000
"679","Norway",2011,"From 1 250 to 1 499 kg",861000
"680","Norway",2011,"1 500 kg or over",620000
"681","Switzerland",2011,"Less than 1 000 kg",356000
"682","Switzerland",2011,"From 1 000 to 1 249 kg",977000
"683","Switzerland",2011,"From 1 250 to 1 499 kg",1274000
"684","Switzerland",2011,"1 500 kg or over",1556000
"685","Turkey",2011,"Less than 1 000 kg",1974300
"686","Turkey",2011,"From 1 000 to 1 249 kg",4074100
"687","Turkey",2011,"From 1 250 to 1 499 kg",1571700
"688","Turkey",2011,"1 500 kg or over",443000
"689","Estonia",2012,"Less than 1 000 kg",44800
"690","Estonia",2012,"From 1 000 to 1 249 kg",177400
"691","Estonia",2012,"From 1 250 to 1 499 kg",194100
"692","Estonia",2012,"1 500 kg or over",185800
"693","Spain",2012,"Less than 1 000 kg",4890000
"694","Spain",2012,"From 1 000 to 1 249 kg",7497000
"695","Spain",2012,"From 1 250 to 1 499 kg",7175000
"696","Spain",2012,"1 500 kg or over",2686000
"697","Croatia",2012,"Less than 1 000 kg",401000
"698","Croatia",2012,"From 1 000 to 1 249 kg",552000
"699","Croatia",2012,"From 1 250 to 1 499 kg",347000
"700","Croatia",2012,"1 500 kg or over",145000
"701","Cyprus",2012,"Less than 1 000 kg",124000
"702","Cyprus",2012,"From 1 000 to 1 249 kg",161000
"703","Cyprus",2012,"From 1 250 to 1 499 kg",118000
"704","Cyprus",2012,"1 500 kg or over",72000
"705","Latvia",2012,"Less than 1 000 kg",38900
"706","Latvia",2012,"From 1 000 to 1 249 kg",176810
"707","Latvia",2012,"From 1 250 to 1 499 kg",207080
"708","Latvia",2012,"1 500 kg or over",195490
"709","Luxembourg",2012,"Less than 1 000 kg",17100
"710","Luxembourg",2012,"From 1 000 to 1 249 kg",73700
"711","Luxembourg",2012,"From 1 250 to 1 499 kg",110500
"712","Luxembourg",2012,"1 500 kg or over",154600
"713","Hungary",2012,"Less than 1 000 kg",1109170
"714","Hungary",2012,"From 1 000 to 1 249 kg",1119380
"715","Hungary",2012,"From 1 250 to 1 499 kg",482230
"716","Hungary",2012,"1 500 kg or over",275250
"717","Malta",2012,"Less than 1 000 kg",5383
"718","Malta",2012,"From 1 000 to 1 249 kg",62778
"719","Malta",2012,"From 1 250 to 1 499 kg",94969
"720","Malta",2012,"1 500 kg or over",86482
"721","Netherlands",2012,"Less than 1 000 kg",2680000
"722","Netherlands",2012,"From 1 000 to 1 249 kg",2428000
"723","Netherlands",2012,"From 1 250 to 1 499 kg",1979000
"724","Netherlands",2012,"1 500 kg or over",828000
"725","Austria",2012,"Less than 1 000 kg",602000
"726","Austria",2012,"From 1 000 to 1 249 kg",1329000
"727","Austria",2012,"From 1 250 to 1 499 kg",1558000
"728","Austria",2012,"1 500 kg or over",1095000
"729","Poland",2012,"Less than 1 000 kg",5974000
"730","Poland",2012,"From 1 000 to 1 249 kg",5668000
"731","Poland",2012,"From 1 250 to 1 499 kg",3885000
"732","Poland",2012,"1 500 kg or over",3217000
"733","Portugal",2012,"Less than 1 000 kg",64000
"734","Portugal",2012,"From 1 000 to 1 249 kg",221000
"735","Portugal",2012,"From 1 250 to 1 499 kg",1121000
"736","Portugal",2012,"1 500 kg or over",2853000
"737","Romania",2012,"Less than 1 000 kg",1442000
"738","Romania",2012,"From 1 000 to 1 249 kg",1495000
"739","Romania",2012,"From 1 250 to 1 499 kg",1020000
"740","Romania",2012,"1 500 kg or over",530000
"741","Finland",2012,"Less than 1 000 kg",333000
"742","Finland",2012,"From 1 000 to 1 249 kg",848000
"743","Finland",2012,"From 1 250 to 1 499 kg",1109000
"744","Finland",2012,"1 500 kg or over",745000
"745","Sweden",2012,"Less than 1 000 kg",136038
"746","Sweden",2012,"From 1 000 to 1 249 kg",770429
"747","Sweden",2012,"From 1 250 to 1 499 kg",1554682
"748","Sweden",2012,"1 500 kg or over",1985200
"749","Liechtenstein",2012,"Less than 1 000 kg",1690
"750","Liechtenstein",2012,"From 1 000 to 1 249 kg",5410
"751","Liechtenstein",2012,"From 1 250 to 1 499 kg",7560
"752","Liechtenstein",2012,"1 500 kg or over",13350
"753","Norway",2012,"Less than 1 000 kg",229000
"754","Norway",2012,"From 1 000 to 1 249 kg",640000
"755","Norway",2012,"From 1 250 to 1 499 kg",890000
"756","Norway",2012,"1 500 kg or over",684000
"757","Switzerland",2012,"Less than 1 000 kg",326000
"758","Switzerland",2012,"From 1 000 to 1 249 kg",966000
"759","Switzerland",2012,"From 1 250 to 1 499 kg",1293000
"760","Switzerland",2012,"1 500 kg or over",1670000
"761","Estonia",2013,"Less than 1 000 kg",43027
"762","Estonia",2013,"From 1 000 to 1 249 kg",173437
"763","Estonia",2013,"From 1 250 to 1 499 kg",200951
"764","Estonia",2013,"1 500 kg or over",211241
"765","Spain",2013,"Less than 1 000 kg",4726000
"766","Spain",2013,"From 1 000 to 1 249 kg",7337000
"767","Spain",2013,"From 1 250 to 1 499 kg",7189000
"768","Spain",2013,"1 500 kg or over",2772000
"769","France",2013,"Less than 1 000 kg",5541000
"770","France",2013,"From 1 000 to 1 249 kg",10839000
"771","France",2013,"From 1 250 to 1 499 kg",11279000
"772","France",2013,"1 500 kg or over",5198000
"773","Croatia",2013,"Less than 1 000 kg",382000
"774","Croatia",2013,"From 1 000 to 1 249 kg",550000
"775","Croatia",2013,"From 1 250 to 1 499 kg",361000
"776","Croatia",2013,"1 500 kg or over",155000
"777","Cyprus",2013,"Less than 1 000 kg",119335
"778","Cyprus",2013,"From 1 000 to 1 249 kg",160665
"779","Cyprus",2013,"From 1 250 to 1 499 kg",120564
"780","Cyprus",2013,"1 500 kg or over",73997
"781","Latvia",2013,"Less than 1 000 kg",34680
"782","Latvia",2013,"From 1 000 to 1 249 kg",167810
"783","Latvia",2013,"From 1 250 to 1 499 kg",213740
"784","Latvia",2013,"1 500 kg or over",218370
"785","Hungary",2013,"Less than 1 000 kg",1082021
"786","Hungary",2013,"From 1 000 to 1 249 kg",1132619
"787","Hungary",2013,"From 1 250 to 1 499 kg",516925
"788","Hungary",2013,"1 500 kg or over",309167
"789","Malta",2013,"Less than 1 000 kg",5226
"790","Malta",2013,"From 1 000 to 1 249 kg",61505
"791","Malta",2013,"From 1 250 to 1 499 kg",96388
"792","Malta",2013,"1 500 kg or over",92977
"793","Netherlands",2013,"Less than 1 000 kg",2690000
"794","Netherlands",2013,"From 1 000 to 1 249 kg",2411000
"795","Netherlands",2013,"From 1 250 to 1 499 kg",1989000
"796","Netherlands",2013,"1 500 kg or over",842000
"797","Austria",2013,"Less than 1 000 kg",572057
"798","Austria",2013,"From 1 000 to 1 249 kg",1315607
"799","Austria",2013,"From 1 250 to 1 499 kg",1586587
"800","Austria",2013,"1 500 kg or over",1167057
"801","Poland",2013,"Less than 1 000 kg",5886661
"802","Poland",2013,"From 1 000 to 1 249 kg",5716657
"803","Poland",2013,"From 1 250 to 1 499 kg",4161142
"804","Poland",2013,"1 500 kg or over",3624986
"805","Portugal",2013,"Less than 1 000 kg",72706
"806","Portugal",2013,"From 1 000 to 1 249 kg",209535
"807","Portugal",2013,"From 1 250 to 1 499 kg",1114047
"808","Portugal",2013,"1 500 kg or over",2931190
"809","Romania",2013,"Less than 1 000 kg",1414000
"810","Romania",2013,"From 1 000 to 1 249 kg",1577000
"811","Romania",2013,"From 1 250 to 1 499 kg",1117000
"812","Romania",2013,"1 500 kg or over",588000
"813","Finland",2013,"Less than 1 000 kg",323000
"814","Finland",2013,"From 1 000 to 1 249 kg",843000
"815","Finland",2013,"From 1 250 to 1 499 kg",1138000
"816","Finland",2013,"1 500 kg or over",799000
"817","Sweden",2013,"Less than 1 000 kg",131965
"818","Sweden",2013,"From 1 000 to 1 249 kg",759319
"819","Sweden",2013,"From 1 250 to 1 499 kg",1528517
"820","Sweden",2013,"1 500 kg or over",2074860
"821","Liechtenstein",2013,"Less than 1 000 kg",1570
"822","Liechtenstein",2013,"From 1 000 to 1 249 kg",5310
"823","Liechtenstein",2013,"From 1 250 to 1 499 kg",7530
"824","Liechtenstein",2013,"1 500 kg or over",13690
"825","Norway",2013,"Less than 1 000 kg",219000
"826","Norway",2013,"From 1 000 to 1 249 kg",622000
"827","Norway",2013,"From 1 250 to 1 499 kg",913000
"828","Norway",2013,"1 500 kg or over",746000
"829","Switzerland",2013,"Less than 1 000 kg",297000
"830","Switzerland",2013,"From 1 000 to 1 249 kg",956000
"831","Switzerland",2013,"From 1 250 to 1 499 kg",1299000
"832","Switzerland",2013,"1 500 kg or over",1769000
"833","Turkey",2013,"Less than 1 000 kg",1856999
"834","Turkey",2013,"From 1 000 to 1 249 kg",4502307
"835","Turkey",2013,"From 1 250 to 1 499 kg",2235088
"836","Turkey",2013,"1 500 kg or over",689529
"837","Estonia",2014,"Less than 1 000 kg",41463
"838","Estonia",2014,"From 1 000 to 1 249 kg",169593
"839","Estonia",2014,"From 1 250 to 1 499 kg",207929
"840","Estonia",2014,"1 500 kg or over",233965
"841","Spain",2014,"Less than 1 000 kg",4376810
"842","Spain",2014,"From 1 000 to 1 249 kg",7370780
"843","Spain",2014,"From 1 250 to 1 499 kg",7374821
"844","Spain",2014,"1 500 kg or over",2907101
"845","France",2014,"Less than 1 000 kg",5153000
"846","France",2014,"From 1 000 to 1 249 kg",10810000
"847","France",2014,"From 1 250 to 1 499 kg",11285000
"848","France",2014,"1 500 kg or over",5283000
"849","Croatia",2014,"Less than 1 000 kg",366000
"850","Croatia",2014,"From 1 000 to 1 249 kg",554000
"851","Croatia",2014,"From 1 250 to 1 499 kg",385000
"852","Croatia",2014,"1 500 kg or over",169000
"853","Cyprus",2014,"Less than 1 000 kg",116356
"854","Cyprus",2014,"From 1 000 to 1 249 kg",161545
"855","Cyprus",2014,"From 1 250 to 1 499 kg",123286
"856","Cyprus",2014,"1 500 kg or over",77305
"857","Latvia",2014,"Less than 1 000 kg",30969
"858","Latvia",2014,"From 1 000 to 1 249 kg",159494
"859","Latvia",2014,"From 1 250 to 1 499 kg",221630
"860","Latvia",2014,"1 500 kg or over",245706
"861","Hungary",2014,"Less than 1 000 kg",1046383
"862","Hungary",2014,"From 1 000 to 1 249 kg",1145752
"863","Hungary",2014,"From 1 250 to 1 499 kg",562450
"864","Hungary",2014,"1 500 kg or over",353110
"865","Malta",2014,"Less than 1 000 kg",5230
"866","Malta",2014,"From 1 000 to 1 249 kg",61558
"867","Malta",2014,"From 1 250 to 1 499 kg",99234
"868","Malta",2014,"1 500 kg or over",99928
"869","Austria",2014,"Less than 1 000 kg",550048
"870","Austria",2014,"From 1 000 to 1 249 kg",1309390
"871","Austria",2014,"From 1 250 to 1 499 kg",1607698
"872","Austria",2014,"1 500 kg or over",1227785
"873","Poland",2014,"Less than 1 000 kg",5757186
"874","Poland",2014,"From 1 000 to 1 249 kg",5746657
"875","Poland",2014,"From 1 250 to 1 499 kg",4437490
"876","Poland",2014,"1 500 kg or over",4062530
"877","Portugal",2014,"Less than 1 000 kg",83023
"878","Portugal",2014,"From 1 000 to 1 249 kg",216766
"879","Portugal",2014,"From 1 250 to 1 499 kg",1146833
"880","Portugal",2014,"1 500 kg or over",3192545
"881","Romania",2014,"Less than 1 000 kg",1380000
"882","Romania",2014,"From 1 000 to 1 249 kg",1663000
"883","Romania",2014,"From 1 250 to 1 499 kg",1219000
"884","Romania",2014,"1 500 kg or over",646000
"885","Finland",2014,"Less than 1 000 kg",316085
"886","Finland",2014,"From 1 000 to 1 249 kg",839158
"887","Finland",2014,"From 1 250 to 1 499 kg",1168775
"888","Finland",2014,"1 500 kg or over",848717
"889","Sweden",2014,"Less than 1 000 kg",129617
"890","Sweden",2014,"From 1 000 to 1 249 kg",758204
"891","Sweden",2014,"From 1 250 to 1 499 kg",1523943
"892","Sweden",2014,"1 500 kg or over",2172947
"893","Liechtenstein",2014,"Less than 1 000 kg",1580
"894","Liechtenstein",2014,"From 1 000 to 1 249 kg",5280
"895","Liechtenstein",2014,"From 1 250 to 1 499 kg",7520
"896","Liechtenstein",2014,"1 500 kg or over",14100
"897","Norway",2014,"Less than 1 000 kg",207000
"898","Norway",2014,"From 1 000 to 1 249 kg",609000
"899","Norway",2014,"From 1 250 to 1 499 kg",932000
"900","Norway",2014,"1 500 kg or over",807000
"901","Switzerland",2014,"Less than 1 000 kg",275000
"902","Switzerland",2014,"From 1 000 to 1 249 kg",950000
"903","Switzerland",2014,"From 1 250 to 1 499 kg",1307000
"904","Switzerland",2014,"1 500 kg or over",1852000
"905","Turkey",2014,"Less than 1 000 kg",1808793
"906","Turkey",2014,"From 1 000 to 1 249 kg",4689853
"907","Turkey",2014,"From 1 250 to 1 499 kg",2555788
"908","Turkey",2014,"1 500 kg or over",803481
"909","Estonia",2015,"Less than 1 000 kg",40160
"910","Estonia",2015,"From 1 000 to 1 249 kg",166054
"911","Estonia",2015,"From 1 250 to 1 499 kg",215671
"912","Estonia",2015,"1 500 kg or over",254711
"913","Spain",2015,"Less than 1 000 kg",4285954
"914","Spain",2015,"From 1 000 to 1 249 kg",7429153
"915","Spain",2015,"From 1 250 to 1 499 kg",7581678
"916","Spain",2015,"1 500 kg or over",3058764
"917","France",2015,"Less than 1 000 kg",4866000
"918","France",2015,"From 1 000 to 1 249 kg",10813000
"919","France",2015,"From 1 250 to 1 499 kg",11267000
"920","France",2015,"1 500 kg or over",5380000
"921","Croatia",2015,"Less than 1 000 kg",349390
"922","Croatia",2015,"From 1 000 to 1 249 kg",555929
"923","Croatia",2015,"From 1 250 to 1 499 kg",410418
"924","Croatia",2015,"1 500 kg or over",184065
"925","Cyprus",2015,"Less than 1 000 kg",115651
"926","Cyprus",2015,"From 1 000 to 1 249 kg",164078
"927","Cyprus",2015,"From 1 250 to 1 499 kg",126612
"928","Cyprus",2015,"1 500 kg or over",81351
"929","Latvia",2015,"Less than 1 000 kg",27163
"930","Latvia",2015,"From 1 000 to 1 249 kg",150164
"931","Latvia",2015,"From 1 250 to 1 499 kg",227779
"932","Latvia",2015,"1 500 kg or over",273942
"933","Hungary",2015,"Less than 1 000 kg",1003168
"934","Hungary",2015,"From 1 000 to 1 249 kg",1167836
"935","Hungary",2015,"From 1 250 to 1 499 kg",619169
"936","Hungary",2015,"1 500 kg or over",406683
"937","Malta",2015,"Less than 1 000 kg",5142
"938","Malta",2015,"From 1 000 to 1 249 kg",61860
"939","Malta",2015,"From 1 250 to 1 499 kg",101609
"940","Malta",2015,"1 500 kg or over",106769
"941","Austria",2015,"Less than 1 000 kg",527187
"942","Austria",2015,"From 1 000 to 1 249 kg",1304005
"943","Austria",2015,"From 1 250 to 1 499 kg",1625351
"944","Austria",2015,"1 500 kg or over",1291505
"945","Poland",2015,"Less than 1 000 kg",5665814
"946","Poland",2015,"From 1 000 to 1 249 kg",5784814
"947","Poland",2015,"From 1 250 to 1 499 kg",4716759
"948","Poland",2015,"1 500 kg or over",4556036
"949","Romania",2015,"Less than 1 000 kg",1345000
"950","Romania",2015,"From 1 000 to 1 249 kg",1752000
"951","Romania",2015,"From 1 250 to 1 499 kg",1338000
"952","Romania",2015,"1 500 kg or over",720000
"953","Finland",2015,"Less than 1 000 kg",308212
"954","Finland",2015,"From 1 000 to 1 249 kg",836600
"955","Finland",2015,"From 1 250 to 1 499 kg",1194638
"956","Finland",2015,"1 500 kg or over",895410
"957","Sweden",2015,"Less than 1 000 kg",126620
"958","Sweden",2015,"From 1 000 to 1 249 kg",753315
"959","Sweden",2015,"From 1 250 to 1 499 kg",1512152
"960","Sweden",2015,"1 500 kg or over",2276175
"961","Liechtenstein",2015,"Less than 1 000 kg",1558
"962","Liechtenstein",2015,"From 1 000 to 1 249 kg",5220
"963","Liechtenstein",2015,"From 1 250 to 1 499 kg",7531
"964","Liechtenstein",2015,"1 500 kg or over",14493
"965","Norway",2015,"Less than 1 000 kg",196000
"966","Norway",2015,"From 1 000 to 1 249 kg",594000
"967","Norway",2015,"From 1 250 to 1 499 kg",942000
"968","Norway",2015,"1 500 kg or over",878000
"969","Switzerland",2015,"Less than 1 000 kg",262000
"970","Switzerland",2015,"From 1 000 to 1 249 kg",954000
"971","Switzerland",2015,"From 1 250 to 1 499 kg",1320000
"972","Switzerland",2015,"1 500 kg or over",1922000
"973","Turkey",2015,"Less than 1 000 kg",1780195
"974","Turkey",2015,"From 1 000 to 1 249 kg",4917835
"975","Turkey",2015,"From 1 250 to 1 499 kg",2983753
"976","Turkey",2015,"1 500 kg or over",907554
