"DRZAVA","LETO","TEŽA","Vrednost"
"France",1996,"Total","2,132,091"
"Croatia",1996,"Total","73,584"
"Italy",1996,"Total","1,843,366"
"Cyprus",1996,"Total","20,402"
"Latvia",1996,"Total","52,112"
"Lithuania",1996,"Total","122,142"
"Hungary",1996,"Total","62,660"
"Malta",1996,"Total","10,624"
"Austria",1996,"Total","307,671"
"Poland",1996,"Total","627,349"
"Portugal",1996,"Total","268,542"
"Slovenia",1996,"Total","59,358"
"Slovakia",1996,"Total","107,576"
"Finland",1996,"Total","96,163"
"Finland",1996,"Less than 1 000 kg","9,233"
"Finland",1996,"From 1 000 to 1 249 kg","49,278"
"Finland",1996,"From 1 250 to 1 499 kg","31,395"
"Finland",1996,"1 500 kg or over","5,919"
"Sweden",1996,"Total","200,154"
"United Kingdom",1996,"Total","2,105,914"
"Iceland",1996,"Total","9,515"
"Liechtenstein",1996,"Total","2"
"Norway",1996,"Total","146,835"
"Switzerland",1996,"Total","272,214"
"Former Yugoslav Republic of Macedonia, the",1996,"Total","13,270"
"Turkey",1996,"Total","219,230"
"Bulgaria",1997,"Total","28,166"
"Denmark",1997,"Total","152,869"
"Germany (until 1990 former territory of the FRG)",1997,"Total","3,528,179"
"Estonia",1997,"Total","9,448"
"Ireland",1997,"Total","125,818"
"Greece",1997,"Total","166,778"
"Spain",1997,"Total","1,091,190"
"France",1997,"Total","1,713,030"
"Croatia",1997,"Total","109,144"
"Italy",1997,"Total","2,389,892"
"Cyprus",1997,"Total","20,290"
"Latvia",1997,"Total","71,513"
"Lithuania",1997,"Total","173,057"
"Hungary",1997,"Total","70,827"
"Malta",1997,"Total","9,226"
"Netherlands",1997,"Total","478,318"
"Austria",1997,"Total","275,001"
"Poland",1997,"Total","722,245"
"Portugal",1997,"Total","287,730"
"Romania",1997,"Total","125,142"
"Slovenia",1997,"Total","64,357"
"Slovakia",1997,"Total","85,551"
"Finland",1997,"Total","104,963"
"Finland",1997,"Less than 1 000 kg","8,656"
"Finland",1997,"From 1 000 to 1 249 kg","48,956"
"Finland",1997,"From 1 250 to 1 499 kg","36,881"
"Finland",1997,"1 500 kg or over","10,012"
"Sweden",1997,"Total","258,944"
"United Kingdom",1997,"Total","2,250,870"
"Iceland",1997,"Total","11,734"
"Liechtenstein",1997,"Total","2"
"Norway",1997,"Total","154,654"
"Switzerland",1997,"Total","270,625"
"Former Yugoslav Republic of Macedonia, the",1997,"Total","8,911"
"Turkey",1997,"Total","299,108"
"Belgium",1998,"Total","463,724"
"Bulgaria",1998,"Total","70,797"
"Denmark",1998,"Total","162,708"
"Germany (until 1990 former territory of the FRG)",1998,"Total","3,735,987"
"Estonia",1998,"Total","8,400"
"Ireland",1998,"Total","138,538"
"Greece",1998,"Total","183,657"
"Spain",1998,"Total","1,282,970"
"France",1998,"Total","1,943,553"
"France",1998,"Less than 1 000 kg","699,634"
"France",1998,"From 1 000 to 1 249 kg","681,762"
"France",1998,"From 1 250 to 1 499 kg","423,755"
"France",1998,"1 500 kg or over","138,402"
"Croatia",1998,"Total","85,893"
"Italy",1998,"Total","2,437,718"
"Cyprus",1998,"Total","24,856"
"Latvia",1998,"Total","57,363"
"Lithuania",1998,"Total","147,105"
"Luxembourg",1998,"Total","36,353"
"Hungary",1998,"Total","101,328"
"Malta",1998,"Total","10,750"
"Netherlands",1998,"Total","543,110"
"Austria",1998,"Total","295,865"
"Poland",1998,"Total","557,783"
"Portugal",1998,"Total","323,981"
"Romania",1998,"Total","105,986"
"Slovenia",1998,"Total","71,022"
"Slovakia",1998,"Total","76,007"
"Finland",1998,"Total","126,386"
"Finland",1998,"Less than 1 000 kg","9,780"
"Finland",1998,"From 1 000 to 1 249 kg","52,965"
"Finland",1998,"From 1 250 to 1 499 kg","51,615"
"Finland",1998,"1 500 kg or over","11,386"
"Sweden",1998,"Total","286,671"
"United Kingdom",1998,"Total","2,362,589"
"Iceland",1998,"Total","15,064"
"Liechtenstein",1998,"Total","2"
"Norway",1998,"Total","141,090"
"Switzerland",1998,"Total","295,165"
"Former Yugoslav Republic of Macedonia, the",1998,"Total","8,676"
"Turkey",1998,"Total","271,843"
"Belgium",1999,"Total","504,203"
"Bulgaria",1999,"Total","103,459"
"Denmark",1999,"Total","144,259"
"Germany (until 1990 former territory of the FRG)",1999,"Total","3,802,176"
"Estonia",1999,"Total","6,864"
"Ireland",1999,"Total","170,322"
"Greece",1999,"Total","268,716"
"Spain",1999,"Total","1,502,531"
"France",1999,"Total","2,148,423"
"France",1999,"Less than 1 000 kg","717,887"
"France",1999,"From 1 000 to 1 249 kg","743,891"
"France",1999,"From 1 250 to 1 499 kg","524,282"
"France",1999,"1 500 kg or over","162,363"
"Croatia",1999,"Total","89,846"
"Italy",1999,"Total","2,312,309"
"Cyprus",1999,"Total","20,133"
"Latvia",1999,"Total","45,861"
"Lithuania",1999,"Total","142,069"
"Luxembourg",1999,"Total","40,989"
"Hungary",1999,"Total","126,085"
"Hungary",1999,"Less than 1 000 kg","59,009"
"Hungary",1999,"From 1 000 to 1 249 kg","54,260"
"Hungary",1999,"From 1 250 to 1 499 kg","10,449"
"Hungary",1999,"1 500 kg or over","2,369"
"Malta",1999,"Total","13,341"
"Netherlands",1999,"Total","611,776"
"Austria",1999,"Total","314,182"
"Austria",1999,"Less than 1 000 kg","46,919"
"Austria",1999,"From 1 000 to 1 249 kg","100,460"
"Austria",1999,"From 1 250 to 1 499 kg","123,374"
"Austria",1999,"1 500 kg or over","43,429"
"Poland",1999,"Total","599,250"
"Portugal",1999,"Total","351,575"
"Romania",1999,"Total","90,047"
"Slovenia",1999,"Total","81,869"
"Slovakia",1999,"Total","58,152"
"Finland",1999,"Total","137,017"
"Finland",1999,"Less than 1 000 kg","9,838"
"Finland",1999,"From 1 000 to 1 249 kg","59,903"
"Finland",1999,"From 1 250 to 1 499 kg","53,119"
"Finland",1999,"1 500 kg or over","13,461"
"Sweden",1999,"Total","327,710"
"Sweden",1999,"Less than 1 000 kg","11,239"
"Sweden",1999,"From 1 000 to 1 249 kg","69,247"
"Sweden",1999,"From 1 250 to 1 499 kg","132,186"
"Sweden",1999,"1 500 kg or over","115,019"
"United Kingdom",1999,"Total","2,414,660"
"Iceland",1999,"Total","17,007"
"Iceland",1999,"Less than 1 000 kg","2,149"
"Iceland",1999,"From 1 000 to 1 249 kg","6,769"
"Iceland",1999,"From 1 250 to 1 499 kg","4,157"
"Iceland",1999,"1 500 kg or over","3,932"
"Liechtenstein",1999,"Total","2"
"Norway",1999,"Total","123,843"
"Switzerland",1999,"Total","314,691"
"Former Yugoslav Republic of Macedonia, the",1999,"Total","9,840"
"Belgium",2000,"Total","531,640"
"Bulgaria",2000,"Total","98,185"
"Denmark",2000,"Total","113,631"
"Germany (until 1990 former territory of the FRG)",2000,"Total","3,378,343"
"Estonia",2000,"Total","10,240"
"Estonia",2000,"Less than 1 000 kg","495"
"Estonia",2000,"From 1 000 to 1 249 kg","4,743"
"Estonia",2000,"From 1 250 to 1 499 kg","3,395"
"Estonia",2000,"1 500 kg or over","1,607"
"Ireland",2000,"Total","225,269"
"Greece",2000,"Total","302,620"
"Spain",2000,"Total","1,467,160"
"France",2000,"Total","2,133,884"
"France",2000,"Less than 1 000 kg","645,293"
"France",2000,"From 1 000 to 1 249 kg","767,057"
"France",2000,"From 1 250 to 1 499 kg","570,015"
"France",2000,"1 500 kg or over","151,519"
"Croatia",2000,"Total","92,759"
"Italy",2000,"Total","2,359,674"
"Cyprus",2000,"Total","19,056"
"Cyprus",2000,"Less than 1 000 kg","7,955"
"Cyprus",2000,"From 1 000 to 1 249 kg","7,400"
"Cyprus",2000,"From 1 250 to 1 499 kg","1,908"
"Cyprus",2000,"1 500 kg or over","1,793"
"Latvia",2000,"Total","35,745"
"Latvia",2000,"Less than 1 000 kg","5,573"
"Latvia",2000,"From 1 000 to 1 249 kg","16,839"
"Latvia",2000,"From 1 250 to 1 499 kg","9,146"
"Latvia",2000,"1 500 kg or over","4,187"
"Lithuania",2000,"Total","115,808"
"Luxembourg",2000,"Total","42,304"
"Hungary",2000,"Total","130,323"
"Hungary",2000,"Less than 1 000 kg","55,037"
"Hungary",2000,"From 1 000 to 1 249 kg","58,167"
"Hungary",2000,"From 1 250 to 1 499 kg","14,392"
"Hungary",2000,"1 500 kg or over","2,727"
"Malta",2000,"Total","13,055"
"Malta",2000,"Less than 1 000 kg","30"
"Malta",2000,"From 1 000 to 1 249 kg","1,730"
"Malta",2000,"From 1 250 to 1 499 kg","5,769"
"Malta",2000,"1 500 kg or over","5,527"
"Netherlands",2000,"Total","597,623"
"Austria",2000,"Total","309,427"
"Austria",2000,"Less than 1 000 kg","41,570"
"Austria",2000,"From 1 000 to 1 249 kg","93,747"
"Austria",2000,"From 1 250 to 1 499 kg","124,112"
"Austria",2000,"1 500 kg or over","49,998"
"Poland",2000,"Total","519,407"
"Portugal",2000,"Total","340,397"
"Slovenia",2000,"Total","64,846"
"Slovakia",2000,"Total","54,352"
"Finland",2000,"Total","135,243"
"Finland",2000,"Less than 1 000 kg","10,323"
"Finland",2000,"From 1 000 to 1 249 kg","47,648"
"Finland",2000,"From 1 250 to 1 499 kg","57,752"
"Finland",2000,"1 500 kg or over","18,871"
"Sweden",2000,"Total","342,965"
"Sweden",2000,"Less than 1 000 kg","12,841"
"Sweden",2000,"From 1 000 to 1 249 kg","66,330"
"Sweden",2000,"From 1 250 to 1 499 kg","134,079"
"Sweden",2000,"1 500 kg or over","129,715"
"United Kingdom",2000,"Total","2,432,149"
"Iceland",2000,"Total","14,769"
"Iceland",2000,"Less than 1 000 kg","1,765"
"Iceland",2000,"From 1 000 to 1 249 kg","5,026"
"Iceland",2000,"From 1 250 to 1 499 kg","4,214"
"Iceland",2000,"1 500 kg or over","3,764"
"Liechtenstein",2000,"Total","2"
"Liechtenstein",2000,"Less than 1 000 kg","0"
"Liechtenstein",2000,"From 1 000 to 1 249 kg","0"
"Liechtenstein",2000,"From 1 250 to 1 499 kg","1"
"Liechtenstein",2000,"1 500 kg or over","1"
"Norway",2000,"Total","126,978"
"Switzerland",2000,"Total","314,482"
"Former Yugoslav Republic of Macedonia, the",2000,"Total","13,763"
"Turkey",2000,"Total","354,013"
"Belgium",2001,"Total","499,779"
"Bulgaria",2001,"Total","117,333"
"Denmark",2001,"Total","96,114"
"Germany (until 1990 former territory of the FRG)",2001,"Total","3,341,718"
"Estonia",2001,"Total","12,822"
"Estonia",2001,"Less than 1 000 kg","776"
"Estonia",2001,"From 1 000 to 1 249 kg","5,454"
"Estonia",2001,"From 1 250 to 1 499 kg","4,350"
"Estonia",2001,"1 500 kg or over","2,242"
"Ireland",2001,"Total","160,908"
"Greece",2001,"Total","289,943"
"Spain",2001,"Total","1,498,899"
"France",2001,"Total","2,254,732"
"France",2001,"Less than 1 000 kg","589,261"
"France",2001,"From 1 000 to 1 249 kg","754,582"
"France",2001,"From 1 250 to 1 499 kg","736,334"
"France",2001,"1 500 kg or over","174,555"
"Croatia",2001,"Total","108,484"
"Italy",2001,"Total","2,379,980"
"Cyprus",2001,"Total","24,533"
"Cyprus",2001,"Less than 1 000 kg","10,338"
"Cyprus",2001,"From 1 000 to 1 249 kg","9,164"
"Cyprus",2001,"From 1 250 to 1 499 kg","2,656"
"Cyprus",2001,"1 500 kg or over","2,375"
"Latvia",2001,"Total","37,850"
"Latvia",2001,"Less than 1 000 kg","4,531"
"Latvia",2001,"From 1 000 to 1 249 kg","15,601"
"Latvia",2001,"From 1 250 to 1 499 kg","11,204"
"Latvia",2001,"1 500 kg or over","6,514"
"Lithuania",2001,"Total","71,328"
"Luxembourg",2001,"Total","43,164"
"Hungary",2001,"Total","137,771"
"Hungary",2001,"Less than 1 000 kg","57,972"
"Hungary",2001,"From 1 000 to 1 249 kg","58,628"
"Hungary",2001,"From 1 250 to 1 499 kg","17,242"
"Hungary",2001,"1 500 kg or over","3,929"
"Malta",2001,"Total","10,295"
"Malta",2001,"Less than 1 000 kg","11"
"Malta",2001,"From 1 000 to 1 249 kg","2,072"
"Malta",2001,"From 1 250 to 1 499 kg","3,504"
"Malta",2001,"1 500 kg or over","4,708"
"Netherlands",2001,"Total","530,287"
"Austria",2001,"Total","293,528"
"Austria",2001,"Less than 1 000 kg","36,971"
"Austria",2001,"From 1 000 to 1 249 kg","80,522"
"Austria",2001,"From 1 250 to 1 499 kg","122,473"
"Austria",2001,"1 500 kg or over","53,562"
"Poland",2001,"Total","450,095"
"Portugal",2001,"Total","302,763"
"Slovenia",2001,"Total","55,432"
"Slovakia",2001,"Total","66,759"
"Finland",2001,"Total","109,911"
"Finland",2001,"Less than 1 000 kg","7,229"
"Finland",2001,"From 1 000 to 1 249 kg","35,023"
"Finland",2001,"From 1 250 to 1 499 kg","47,287"
"Finland",2001,"1 500 kg or over","19,888"
"Sweden",2001,"Total","280,280"
"Sweden",2001,"Less than 1 000 kg","6,341"
"Sweden",2001,"From 1 000 to 1 249 kg","48,639"
"Sweden",2001,"From 1 250 to 1 499 kg","99,412"
"Sweden",2001,"1 500 kg or over","125,888"
"United Kingdom",2001,"Total","2,663,288"
"Iceland",2001,"Total","7,669"
"Iceland",2001,"Less than 1 000 kg","792"
"Iceland",2001,"From 1 000 to 1 249 kg","2,133"
"Iceland",2001,"From 1 250 to 1 499 kg","2,803"
"Iceland",2001,"1 500 kg or over","1,941"
"Liechtenstein",2001,"Total","2"
"Liechtenstein",2001,"Less than 1 000 kg","0"
"Liechtenstein",2001,"From 1 000 to 1 249 kg","0"
"Liechtenstein",2001,"From 1 250 to 1 499 kg","1"
"Liechtenstein",2001,"1 500 kg or over","1"
"Switzerland",2001,"Total","314,580"
"Former Yugoslav Republic of Macedonia, the",2001,"Total","4,755"
"Turkey",2001,"Total","117,196"
"Belgium",2002,"Total","472,830"
"Bulgaria",2002,"Total","121,512"
"Denmark",2002,"Total","111,598"
"Germany (until 1990 former territory of the FRG)",2002,"Total","3,252,898"
"Estonia",2002,"Total","14,701"
"Estonia",2002,"Less than 1 000 kg","549"
"Estonia",2002,"From 1 000 to 1 249 kg","5,363"
"Estonia",2002,"From 1 250 to 1 499 kg","5,761"
"Estonia",2002,"1 500 kg or over","3,028"
"Ireland",2002,"Total","150,485"
"Greece",2002,"Total","277,567"
"Spain",2002,"Total","1,408,426"
"France",2002,"Total","2,145,071"
"France",2002,"Less than 1 000 kg","503,249"
"France",2002,"From 1 000 to 1 249 kg","680,477"
"France",2002,"From 1 250 to 1 499 kg","772,313"
"France",2002,"1 500 kg or over","189,032"
"Croatia",2002,"Total","94,989"
"Italy",2002,"Total","2,235,948"
"Cyprus",2002,"Total","28,101"
"Cyprus",2002,"Less than 1 000 kg","10,376"
"Cyprus",2002,"From 1 000 to 1 249 kg","11,300"
"Cyprus",2002,"From 1 250 to 1 499 kg","4,291"
"Cyprus",2002,"1 500 kg or over","2,134"
"Latvia",2002,"Total","40,335"
"Latvia",2002,"Less than 1 000 kg","3,944"
"Latvia",2002,"From 1 000 to 1 249 kg","16,540"
"Latvia",2002,"From 1 250 to 1 499 kg","12,189"
"Latvia",2002,"1 500 kg or over","7,662"
"Lithuania",2002,"Total","93,305"
"Lithuania",2002,"Less than 1 000 kg","19,134"
"Lithuania",2002,"From 1 000 to 1 249 kg","41,081"
"Lithuania",2002,"From 1 250 to 1 499 kg","23,854"
"Lithuania",2002,"1 500 kg or over","9,236"
"Luxembourg",2002,"Total","43,677"
"Hungary",2002,"Total","160,238"
"Hungary",2002,"Less than 1 000 kg","64,247"
"Hungary",2002,"From 1 000 to 1 249 kg","70,182"
"Hungary",2002,"From 1 250 to 1 499 kg","20,456"
"Hungary",2002,"1 500 kg or over","5,353"
"Malta",2002,"Total","10,267"
"Malta",2002,"Less than 1 000 kg","44"
"Malta",2002,"From 1 000 to 1 249 kg","2,647"
"Malta",2002,"From 1 250 to 1 499 kg","2,744"
"Malta",2002,"1 500 kg or over","4,832"
"Netherlands",2002,"Total","510,744"
"Austria",2002,"Total","279,493"
"Austria",2002,"Less than 1 000 kg","30,707"
"Austria",2002,"From 1 000 to 1 249 kg","75,438"
"Austria",2002,"From 1 250 to 1 499 kg","112,971"
"Austria",2002,"1 500 kg or over","60,377"
"Poland",2002,"Total","421,167"
"Poland",2002,"Less than 1 000 kg","120,628"
"Poland",2002,"From 1 000 to 1 249 kg","183,288"
"Poland",2002,"From 1 250 to 1 499 kg","84,443"
"Poland",2002,"1 500 kg or over","32,808"
"Portugal",2002,"Total","267,374"
"Slovenia",2002,"Total","52,310"
"Slovakia",2002,"Total","67,298"
"Finland",2002,"Total","117,486"
"Finland",2002,"Less than 1 000 kg","8,049"
"Finland",2002,"From 1 000 to 1 249 kg","35,362"
"Finland",2002,"From 1 250 to 1 499 kg","50,915"
