"DRZAVA","LETO","TEŽA","Vrednost"
"Bulgaria",2004,"Total","150,803"
"Czech Republic",2004,"Total","123,579"
"Germany (until 1990 former territory of the FRG)",2004,"Total","3,266,826"
"Estonia",2004,"Total","16,514"
"Estonia",2004,"Less than 1 000 kg","396"
"Estonia",2004,"From 1 000 to 1 249 kg","4,687"
"Estonia",2004,"From 1 250 to 1 499 kg","7,048"
"Estonia",2004,"1 500 kg or over","4,383"
"Ireland",2004,"Total","149,635"
"France",2004,"Total","2,013,709"
"France",2004,"Less than 1 000 kg","410,603"
"France",2004,"From 1 000 to 1 249 kg","544,747"
"France",2004,"From 1 250 to 1 499 kg","776,691"
"France",2004,"1 500 kg or over","281,668"
"Croatia",2004,"Total","99,863"
"Cyprus",2004,"Total","43,842"
"Latvia",2004,"Total","57,474"
"Latvia",2004,"Less than 1 000 kg","3,374"
"Latvia",2004,"From 1 000 to 1 249 kg","20,195"
"Latvia",2004,"From 1 250 to 1 499 kg","19,812"
"Latvia",2004,"1 500 kg or over","14,093"
"Lithuania",2004,"Total","134,612"
"Lithuania",2004,"Less than 1 000 kg","19,651"
"Lithuania",2004,"From 1 000 to 1 249 kg","56,949"
"Lithuania",2004,"From 1 250 to 1 499 kg","39,319"
"Lithuania",2004,"1 500 kg or over","18,693"
"Luxembourg",2004,"Total","48,273"
"Hungary",2004,"Total","188,488"
"Hungary",2004,"Less than 1 000 kg","64,739"
"Hungary",2004,"From 1 000 to 1 249 kg","84,734"
"Hungary",2004,"From 1 250 to 1 499 kg","29,092"
"Hungary",2004,"1 500 kg or over","9,946"
"Netherlands",2004,"Total","483,885"
"Austria",2004,"Total","311,292"
"Austria",2004,"Less than 1 000 kg","31,688"
"Austria",2004,"From 1 000 to 1 249 kg","79,780"
"Austria",2004,"From 1 250 to 1 499 kg","123,022"
"Austria",2004,"1 500 kg or over","76,802"
"Poland",2004,"Total","833,021"
"Poland",2004,"Less than 1 000 kg","179,278"
"Poland",2004,"From 1 000 to 1 249 kg","357,601"
"Poland",2004,"From 1 250 to 1 499 kg","196,486"
"Poland",2004,"1 500 kg or over","99,656"
"Romania",2004,"Total","149,290"
"Slovenia",2004,"Total","58,945"
"Slovakia",2004,"Total","71,954"
"Finland",2004,"Total","143,160"
"Finland",2004,"Less than 1 000 kg","6,237"
"Finland",2004,"From 1 000 to 1 249 kg","31,979"
"Finland",2004,"From 1 250 to 1 499 kg","72,393"
"Finland",2004,"1 500 kg or over","32,033"
"Sweden",2004,"Total","297,405"
"Sweden",2004,"Less than 1 000 kg","4,076"
"Sweden",2004,"From 1 000 to 1 249 kg","46,171"
"Sweden",2004,"From 1 250 to 1 499 kg","100,116"
"Sweden",2004,"1 500 kg or over","147,042"
"United Kingdom",2004,"Total","2,668,449"
"Iceland",2004,"Total","13,927"
"Iceland",2004,"Less than 1 000 kg","985"
"Iceland",2004,"From 1 000 to 1 249 kg","2,966"
"Iceland",2004,"From 1 250 to 1 499 kg","4,678"
"Iceland",2004,"1 500 kg or over","5,298"
"Liechtenstein",2004,"Total","1,790"
"Liechtenstein",2004,"Less than 1 000 kg","40"
"Liechtenstein",2004,"From 1 000 to 1 249 kg","300"
"Liechtenstein",2004,"From 1 250 to 1 499 kg","490"
"Liechtenstein",2004,"1 500 kg or over","960"
"Norway",2004,"Total","145,538"
"Norway",2004,"Less than 1 000 kg","10,265"
"Norway",2004,"From 1 000 to 1 249 kg","33,520"
"Norway",2004,"From 1 250 to 1 499 kg","65,229"
"Norway",2004,"1 500 kg or over","36,524"
"Switzerland",2004,"Total","267,476"
"Switzerland",2004,"Less than 1 000 kg","9,136"
"Switzerland",2004,"From 1 000 to 1 249 kg","48,954"
"Switzerland",2004,"From 1 250 to 1 499 kg","76,767"
"Switzerland",2004,"1 500 kg or over","132,625"
"Turkey",2004,"Total","432,728"
"Belgium",2005,"Total","484,915"
"Bulgaria",2005,"Total","168,102"
"Czech Republic",2005,"Total","125,166"
"Germany (until 1990 former territory of the FRG)",2005,"Total","3,342,122"
"Croatia",2005,"Total","101,916"
"Cyprus",2005,"Total","38,676"
"Cyprus",2005,"Less than 1 000 kg","2,939"
"Cyprus",2005,"From 1 000 to 1 249 kg","11,835"
"Cyprus",2005,"From 1 250 to 1 499 kg","14,155"
"Cyprus",2005,"1 500 kg or over","9,747"
"Latvia",2005,"Total","69,704"
"Latvia",2005,"Less than 1 000 kg","2,753"
"Latvia",2005,"From 1 000 to 1 249 kg","21,708"
"Latvia",2005,"From 1 250 to 1 499 kg","24,102"
"Latvia",2005,"1 500 kg or over","21,141"
"Lithuania",2005,"Total","173,644"
"Lithuania",2005,"Less than 1 000 kg","15,676"
"Lithuania",2005,"From 1 000 to 1 249 kg","71,259"
"Lithuania",2005,"From 1 250 to 1 499 kg","55,424"
"Lithuania",2005,"1 500 kg or over","31,285"
"Luxembourg",2005,"Total","48,517"
"Netherlands",2005,"Total","465,196"
"Poland",2005,"Total","979,082"
"Poland",2005,"Less than 1 000 kg","155,185"
"Poland",2005,"From 1 000 to 1 249 kg","379,217"
"Poland",2005,"From 1 250 to 1 499 kg","271,965"
"Poland",2005,"1 500 kg or over","17,271"
"Slovenia",2005,"Total","60,531"
"Sweden",2005,"Total","297,050"
"Sweden",2005,"Less than 1 000 kg","3,449"
"Sweden",2005,"From 1 000 to 1 249 kg","42,181"
"Sweden",2005,"From 1 250 to 1 499 kg","101,579"
"Sweden",2005,"1 500 kg or over","149,840"
"Iceland",2005,"Total","22,141"
"Iceland",2005,"Less than 1 000 kg","1,229"
"Iceland",2005,"From 1 000 to 1 249 kg","4,030"
"Iceland",2005,"From 1 250 to 1 499 kg","6,452"
"Iceland",2005,"1 500 kg or over","10,430"
"Switzerland",2005,"Total","260,682"
"Switzerland",2005,"Less than 1 000 kg","8,704"
"Switzerland",2005,"From 1 000 to 1 249 kg","42,617"
"Switzerland",2005,"From 1 250 to 1 499 kg","74,455"
"Switzerland",2005,"1 500 kg or over","134,906"
"Former Yugoslav Republic of Macedonia, the",2005,"Total","15,894"
"Turkey",2005,"Total","406,807"
"Belgium",2006,"Total","530,941"
"Bulgaria",2006,"Total","182,095"
"Czech Republic",2006,"Total","120,370"
"Denmark",2006,"Total","131,605"
"Germany (until 1990 former territory of the FRG)",2006,"Total","3,467,961"
"Estonia",2006,"Total","25,372"
"Estonia",2006,"Less than 1 000 kg","518"
"Estonia",2006,"From 1 000 to 1 249 kg","5,198"
"Estonia",2006,"From 1 250 to 1 499 kg","11,164"
"Estonia",2006,"1 500 kg or over","8,492"
"Spain",2006,"Total","1,660,627"
"Spain",2006,"Less than 1 000 kg","117,237"
"Spain",2006,"From 1 000 to 1 249 kg","515,740"
"Spain",2006,"From 1 250 to 1 499 kg","715,678"
"Spain",2006,"1 500 kg or over","314,657"
"France",2006,"Total","2,000,549"
"France",2006,"Less than 1 000 kg","258,059"
"France",2006,"From 1 000 to 1 249 kg","731,692"
"France",2006,"From 1 250 to 1 499 kg","663,822"
"France",2006,"1 500 kg or over","346,976"
"Croatia",2006,"Total","114,680"
"Cyprus",2006,"Total","37,192"
"Cyprus",2006,"Less than 1 000 kg","2,826"
"Cyprus",2006,"From 1 000 to 1 249 kg","11,381"
"Cyprus",2006,"From 1 250 to 1 499 kg","13,612"
"Cyprus",2006,"1 500 kg or over","9,373"
"Latvia",2006,"Total","97,399"
"Latvia",2006,"Less than 1 000 kg","2,181"
"Latvia",2006,"From 1 000 to 1 249 kg","24,492"
"Latvia",2006,"From 1 250 to 1 499 kg","35,466"
"Latvia",2006,"1 500 kg or over","35,260"
"Lithuania",2006,"Total","185,271"
"Lithuania",2006,"Less than 1 000 kg","11,714"
"Lithuania",2006,"From 1 000 to 1 249 kg","68,070"
"Lithuania",2006,"From 1 250 to 1 499 kg","65,385"
"Lithuania",2006,"1 500 kg or over","40,102"
"Luxembourg",2006,"Total","50,837"
"Luxembourg",2006,"Less than 1 000 kg","954"
"Luxembourg",2006,"From 1 000 to 1 249 kg","9,497"
"Luxembourg",2006,"From 1 250 to 1 499 kg","16,018"
"Luxembourg",2006,"1 500 kg or over","24,368"
"Hungary",2006,"Total","151,670"
"Netherlands",2006,"Total","483,999"
"Austria",2006,"Total","308,594"
"Austria",2006,"Less than 1 000 kg","21,559"
"Austria",2006,"From 1 000 to 1 249 kg","91,900"
"Austria",2006,"From 1 250 to 1 499 kg","97,101"
"Austria",2006,"1 500 kg or over","97,734"
"Poland",2006,"Total","923,783"
"Poland",2006,"Less than 1 000 kg","112,273"
"Poland",2006,"From 1 000 to 1 249 kg","313,980"
"Poland",2006,"From 1 250 to 1 499 kg","279,977"
"Poland",2006,"1 500 kg or over","217,553"
"Romania",2006,"Total","312,515"
"Slovenia",2006,"Total","59,885"
"Finland",2006,"Total","146,201"
"Finland",2006,"Less than 1 000 kg","4,776"
"Finland",2006,"From 1 000 to 1 249 kg","26,525"
"Finland",2006,"From 1 250 to 1 499 kg","67,984"
"Finland",2006,"1 500 kg or over","46,415"
"Sweden",2006,"Total","300,502"
"Sweden",2006,"Less than 1 000 kg","5,848"
"Sweden",2006,"From 1 000 to 1 249 kg","41,009"
"Sweden",2006,"From 1 250 to 1 499 kg","94,065"
"Sweden",2006,"1 500 kg or over","159,580"
"Liechtenstein",2006,"Total","1,890"
"Liechtenstein",2006,"Less than 1 000 kg","70"
"Liechtenstein",2006,"From 1 000 to 1 249 kg","260"
"Liechtenstein",2006,"From 1 250 to 1 499 kg","450"
"Liechtenstein",2006,"1 500 kg or over","1,110"
"Norway",2006,"Total","142,572"
"Norway",2006,"Less than 1 000 kg","5,764"
"Norway",2006,"From 1 000 to 1 249 kg","30,620"
"Norway",2006,"From 1 250 to 1 499 kg","51,706"
"Norway",2006,"1 500 kg or over","54,482"
"Switzerland",2006,"Total","269,700"
"Switzerland",2006,"Less than 1 000 kg","10,100"
"Switzerland",2006,"From 1 000 to 1 249 kg","45,600"
"Switzerland",2006,"From 1 250 to 1 499 kg","72,300"
"Switzerland",2006,"1 500 kg or over","141,800"
"Former Yugoslav Republic of Macedonia, the",2006,"Total","12,450"
"Turkey",2006,"Total","396,542"
"Belgium",2007,"Total","529,606"
"Bulgaria",2007,"Total","348,887"
"Czech Republic",2007,"Total","129,443"
"Denmark",2007,"Total","252,183"
"Germany (until 1990 former territory of the FRG)",2007,"Total","3,148,163"
"Estonia",2007,"Total","30,916"
"Estonia",2007,"Less than 1 000 kg","562"
"Estonia",2007,"From 1 000 to 1 249 kg","4,901"
"Estonia",2007,"From 1 250 to 1 499 kg","13,846"
"Estonia",2007,"1 500 kg or over","11,607"
"Ireland",2007,"Total","180,754"
"Spain",2007,"Total","1,633,806"
"Spain",2007,"Less than 1 000 kg","69,232"
"Spain",2007,"From 1 000 to 1 249 kg","486,215"
"Spain",2007,"From 1 250 to 1 499 kg","710,496"
"Spain",2007,"1 500 kg or over","364,100"
"France",2007,"Total","2,064,543"
"France",2007,"Less than 1 000 kg","227,495"
"France",2007,"From 1 000 to 1 249 kg","716,030"
"France",2007,"From 1 250 to 1 499 kg","699,993"
"France",2007,"1 500 kg or over","421,025"
"Croatia",2007,"Total","108,015"
"Croatia",2007,"Less than 1 000 kg","10,746"
"Croatia",2007,"From 1 000 to 1 249 kg","44,166"
"Croatia",2007,"From 1 250 to 1 499 kg","34,268"
"Croatia",2007,"1 500 kg or over","18,835"
"Italy",2007,"Total","2,514,905"
"Cyprus",2007,"Total","50,908"
"Cyprus",2007,"Less than 1 000 kg","3,868"
"Cyprus",2007,"From 1 000 to 1 249 kg","15,710"
"Cyprus",2007,"From 1 250 to 1 499 kg","18,602"
"Cyprus",2007,"1 500 kg or over","12,728"
"Latvia",2007,"Total","107,003"
"Latvia",2007,"Less than 1 000 kg","1,385"
"Latvia",2007,"From 1 000 to 1 249 kg","21,081"
"Latvia",2007,"From 1 250 to 1 499 kg","39,378"
"Latvia",2007,"1 500 kg or over","45,159"
"Lithuania",2007,"Total","220,236"
"Lithuania",2007,"Less than 1 000 kg","10,217"
"Lithuania",2007,"From 1 000 to 1 249 kg","68,268"
"Lithuania",2007,"From 1 250 to 1 499 kg","84,880"
"Lithuania",2007,"1 500 kg or over","56,871"
"Luxembourg",2007,"Total","51,332"
"Luxembourg",2007,"Less than 1 000 kg","828"
"Luxembourg",2007,"From 1 000 to 1 249 kg","9,688"
"Luxembourg",2007,"From 1 250 to 1 499 kg","16,717"
"Luxembourg",2007,"1 500 kg or over","24,099"
"Hungary",2007,"Total","136,032"
"Netherlands",2007,"Total","505,643"
"Austria",2007,"Total","298,182"
"Austria",2007,"Less than 1 000 kg","17,921"
"Austria",2007,"From 1 000 to 1 249 kg","89,033"
"Austria",2007,"From 1 250 to 1 499 kg","100,483"
"Austria",2007,"1 500 kg or over","90,745"
"Poland",2007,"Total","1,128,684"
"Poland",2007,"Less than 1 000 kg","106,186"
"Poland",2007,"From 1 000 to 1 249 kg","322,555"
"Poland",2007,"From 1 250 to 1 499 kg","373,026"
"Poland",2007,"1 500 kg or over","326,917"
"Romania",2007,"Total","436,349"
"Slovenia",2007,"Total","67,791"
"Slovakia",2007,"Total","146,292"
"Finland",2007,"Total","126,022"
"Finland",2007,"Less than 1 000 kg","1,984"
"Finland",2007,"From 1 000 to 1 249 kg","19,377"
"Finland",2007,"From 1 250 to 1 499 kg","57,559"
"Finland",2007,"1 500 kg or over","46,425"
"Sweden",2007,"Total","321,705"
"Sweden",2007,"Less than 1 000 kg","8,767"
"Sweden",2007,"From 1 000 to 1 249 kg","35,557"
"Sweden",2007,"From 1 250 to 1 499 kg","102,098"
"Sweden",2007,"1 500 kg or over","175,283"
"Liechtenstein",2007,"Total","1,990"
"Liechtenstein",2007,"Less than 1 000 kg","60"
"Liechtenstein",2007,"From 1 000 to 1 249 kg","260"
"Liechtenstein",2007,"From 1 250 to 1 499 kg","440"
"Liechtenstein",2007,"1 500 kg or over","1,230"
"Norway",2007,"Total","162,970"
"Norway",2007,"Less than 1 000 kg","5,357"
"Norway",2007,"From 1 000 to 1 249 kg","27,945"
"Norway",2007,"From 1 250 to 1 499 kg","67,389"
"Norway",2007,"1 500 kg or over","62,279"
"Switzerland",2007,"Total","284,000"
"Switzerland",2007,"Less than 1 000 kg","10,200"
"Switzerland",2007,"From 1 000 to 1 249 kg","45,600"
"Switzerland",2007,"From 1 250 to 1 499 kg","76,800"
"Switzerland",2007,"1 500 kg or over","151,400"
"Former Yugoslav Republic of Macedonia, the",2007,"Total","16,914"
"Turkey",2007,"Total","353,495"
"Belgium",2008,"Total","540,542"
"Bulgaria",2008,"Total","351,433"
"Czech Republic",2008,"Total","141,954"
"Denmark",2008,"Total","184,323"
"Germany (until 1990 former territory of the FRG)",2008,"Total","3,090,040"
"Estonia",2008,"Total","24,590"
"Estonia",2008,"Less than 1 000 kg","391"
"Estonia",2008,"From 1 000 to 1 249 kg","3,884"
"Estonia",2008,"From 1 250 to 1 499 kg","11,413"
"Estonia",2008,"1 500 kg or over","8,902"
"Spain",2008,"Total","1,188,485"
"Spain",2008,"Less than 1 000 kg","61,909"
"Spain",2008,"From 1 000 to 1 249 kg","352,392"
"Spain",2008,"From 1 250 to 1 499 kg","523,598"
"Spain",2008,"1 500 kg or over","250,586"
"France",2008,"Total","2,050,283"
"France",2008,"Less than 1 000 kg","281,019"
"France",2008,"From 1 000 to 1 249 kg","713,753"
"France",2008,"From 1 250 to 1 499 kg","725,261"
"France",2008,"1 500 kg or over","330,250"
"Croatia",2008,"Total","96,712"
"Croatia",2008,"Less than 1 000 kg","7,256"
"Croatia",2008,"From 1 000 to 1 249 kg","37,627"
"Croatia",2008,"From 1 250 to 1 499 kg","33,868"
"Croatia",2008,"1 500 kg or over","17,961"
"Italy",2008,"Total","2,193,822"
"Cyprus",2008,"Total","51,410"
"Cyprus",2008,"Less than 1 000 kg","3,885"
"Cyprus",2008,"From 1 000 to 1 249 kg","15,748"
"Cyprus",2008,"From 1 250 to 1 499 kg","18,814"
"Cyprus",2008,"1 500 kg or over","12,963"
"Latvia",2008,"Total","54,759"
"Latvia",2008,"Less than 1 000 kg","673"
"Latvia",2008,"From 1 000 to 1 249 kg","9,713"
"Latvia",2008,"From 1 250 to 1 499 kg","20,676"
"Latvia",2008,"1 500 kg or over","23,697"
"Lithuania",2008,"Total","191,768"
"Lithuania",2008,"Less than 1 000 kg","7,830"
"Lithuania",2008,"From 1 000 to 1 249 kg","50,733"
"Lithuania",2008,"From 1 250 to 1 499 kg","76,495"
"Lithuania",2008,"1 500 kg or over","56,710"
"Luxembourg",2008,"Total","52,359"
"Luxembourg",2008,"Less than 1 000 kg","1,081"
"Luxembourg",2008,"From 1 000 to 1 249 kg","9,310"
"Luxembourg",2008,"From 1 250 to 1 499 kg","17,772"
"Luxembourg",2008,"1 500 kg or over","24,196"
"Hungary",2008,"Total","176,678"
"Hungary",2008,"Less than 1 000 kg","26,808"
"Hungary",2008,"From 1 000 to 1 249 kg","72,736"
"Hungary",2008,"From 1 250 to 1 499 kg","46,758"
"Hungary",2008,"1 500 kg or over","30,376"
"Malta",2008,"Total","9,598"
"Malta",2008,"Less than 1 000 kg","47"
"Malta",2008,"From 1 000 to 1 249 kg","5,459"
"Malta",2008,"From 1 250 to 1 499 kg","4,000"
"Malta",2008,"1 500 kg or over","92"
"Netherlands",2008,"Total","499,921"
"Austria",2008,"Total","293,697"
"Austria",2008,"Less than 1 000 kg","25,570"
"Austria",2008,"From 1 000 to 1 249 kg","85,708"
"Austria",2008,"From 1 250 to 1 499 kg","96,969"
"Austria",2008,"1 500 kg or over","85,450"
"Poland",2008,"Total","1,280,633"
"Poland",2008,"Less than 1 000 kg","84,670"
"Poland",2008,"From 1 000 to 1 249 kg","302,045"
"Poland",2008,"From 1 250 to 1 499 kg","439,382"
"Poland",2008,"1 500 kg or over","454,536"
"Romania",2008,"Total","586,476"
"Slovenia",2008,"Total","71,037"
"Slovakia",2008,"Total","151,814"
"Finland",2008,"Total","140,216"
"Finland",2008,"Less than 1 000 kg","1,761"
"Finland",2008,"From 1 000 to 1 249 kg","19,682"
"Finland",2008,"From 1 250 to 1 499 kg","64,193"
"Finland",2008,"1 500 kg or over","54,030"
"Sweden",2008,"Total","257,806"
"Sweden",2008,"Less than 1 000 kg","8,513"
"Sweden",2008,"From 1 000 to 1 249 kg","30,085"
"Sweden",2008,"From 1 250 to 1 499 kg","83,348"
"Sweden",2008,"1 500 kg or over","135,860"
"United Kingdom",2008,"Total","2,112,000"
"Liechtenstein",2008,"Total","2,005"
"Liechtenstein",2008,"Less than 1 000 kg","62"
"Liechtenstein",2008,"From 1 000 to 1 249 kg","336"
"Liechtenstein",2008,"From 1 250 to 1 499 kg","472"
"Liechtenstein",2008,"1 500 kg or over","1,135"
"Norway",2008,"Total","138,241"
"Norway",2008,"Less than 1 000 kg","5,037"
"Norway",2008,"From 1 000 to 1 249 kg","19,667"
"Norway",2008,"From 1 250 to 1 499 kg","56,865"
"Norway",2008,"1 500 kg or over","56,672"
"Switzerland",2008,"Total","288,000"
"Switzerland",2008,"Less than 1 000 kg","13,800"
"Switzerland",2008,"From 1 000 to 1 249 kg","56,500"
"Switzerland",2008,"From 1 250 to 1 499 kg","80,400"
"Switzerland",2008,"1 500 kg or over","137,300"
"Former Yugoslav Republic of Macedonia, the",2008,"Total","17,914"
"Turkey",2008,"Total","353,168"
"Belgium",2009,"Total","479,920"
"Bulgaria",2009,"Total","201,304"
"Czech Republic",2009,"Total","160,614"
"Germany (until 1990 former territory of the FRG)",2009,"Total","3,807,175"
"Estonia",2009,"Total","9,948"
"Estonia",2009,"Less than 1 000 kg","102"
"Estonia",2009,"From 1 000 to 1 249 kg","1,277"
"Estonia",2009,"From 1 250 to 1 499 kg","4,606"
"Estonia",2009,"1 500 kg or over","3,963"
"Spain",2009,"Total","971,177"
"Spain",2009,"Less than 1 000 kg","63,745"
"Spain",2009,"From 1 000 to 1 249 kg","190,605"
"Spain",2009,"From 1 250 to 1 499 kg","275,269"
"Spain",2009,"1 500 kg or over","441,558"
"France",2009,"Total","2,269,011"
"France",2009,"Less than 1 000 kg","455,091"
"France",2009,"From 1 000 to 1 249 kg","795,727"
"France",2009,"From 1 250 to 1 499 kg","720,559"
"France",2009,"1 500 kg or over","297,634"
"Croatia",2009,"Total","53,569"
"Croatia",2009,"Less than 1 000 kg","3,987"
"Croatia",2009,"From 1 000 to 1 249 kg","18,859"
"Croatia",2009,"From 1 250 to 1 499 kg","19,285"
"Croatia",2009,"1 500 kg or over","11,438"
"Italy",2009,"Total","2,176,940"
"Cyprus",2009,"Total","37,494"
"Cyprus",2009,"Less than 1 000 kg","2,909"
"Cyprus",2009,"From 1 000 to 1 249 kg","10,854"
"Cyprus",2009,"From 1 250 to 1 499 kg","12,647"
"Cyprus",2009,"1 500 kg or over","11,084"
"Latvia",2009,"Total","17,288"
"Latvia",2009,"Less than 1 000 kg","295"
"Latvia",2009,"From 1 000 to 1 249 kg","2,867"
"Latvia",2009,"From 1 250 to 1 499 kg","6,386"
"Latvia",2009,"1 500 kg or over","7,740"
"Lithuania",2009,"Total","136,803"
"Lithuania",2009,"Less than 1 000 kg","4,372"
"Lithuania",2009,"From 1 000 to 1 249 kg","31,063"
"Lithuania",2009,"From 1 250 to 1 499 kg","57,292"
"Lithuania",2009,"1 500 kg or over","44,076"
"Luxembourg",2009,"Total","47,264"
"Malta",2009,"Total","15,816"
"Malta",2009,"Less than 1 000 kg","316"
"Malta",2009,"From 1 000 to 1 249 kg","1,993"
"Malta",2009,"From 1 250 to 1 499 kg","6,532"
"Malta",2009,"1 500 kg or over","6,975"
"Austria",2009,"Total","319,403"
"Austria",2009,"Less than 1 000 kg","43,316"
"Austria",2009,"From 1 000 to 1 249 kg","100,243"
"Austria",2009,"From 1 250 to 1 499 kg","98,153"
"Austria",2009,"1 500 kg or over","77,692"
"Poland",2009,"Total","864,295"
"Poland",2009,"Less than 1 000 kg","47,204"
"Poland",2009,"From 1 000 to 1 249 kg","191,557"
"Poland",2009,"From 1 250 to 1 499 kg","307,835"
"Poland",2009,"1 500 kg or over","317,699"
"Portugal",2009,"Total","181,132"
"Romania",2009,"Total","328,880"
"Slovenia",2009,"Total","57,391"
"Slovakia",2009,"Total","148,370"
"Finland",2009,"Total","90,923"
"Finland",2009,"Less than 1 000 kg","1,350"
"Finland",2009,"From 1 000 to 1 249 kg","12,858"
"Finland",2009,"From 1 250 to 1 499 kg","39,202"
"Finland",2009,"1 500 kg or over","37,180"
"Sweden",2009,"Total","212,695"
"Sweden",2009,"Less than 1 000 kg","6,354"
"Sweden",2009,"From 1 000 to 1 249 kg","27,893"
"Sweden",2009,"From 1 250 to 1 499 kg","63,844"
"Sweden",2009,"1 500 kg or over","114,604"
"United Kingdom",2009,"Total","1,968,000"
"Liechtenstein",2009,"Total","1,620"
"Liechtenstein",2009,"Less than 1 000 kg","67"
"Liechtenstein",2009,"From 1 000 to 1 249 kg","283"
"Liechtenstein",2009,"From 1 250 to 1 499 kg","396"
"Liechtenstein",2009,"1 500 kg or over","874"
"Norway",2009,"Total","125,903"
"Norway",2009,"Less than 1 000 kg","6,701"
"Norway",2009,"From 1 000 to 1 249 kg","18,237"
"Norway",2009,"From 1 250 to 1 499 kg","43,724"
"Norway",2009,"1 500 kg or over","57,241"
"Switzerland",2009,"Total","266,500"
"Switzerland",2009,"Less than 1 000 kg","13,300"
"Switzerland",2009,"From 1 000 to 1 249 kg","54,200"
"Switzerland",2009,"From 1 250 to 1 499 kg","75,600"
"Switzerland",2009,"1 500 kg or over","123,400"
"Former Yugoslav Republic of Macedonia, the",2009,"Total","13,113"
"Turkey",2009,"Total","357,986"
"Belgium",2010,"Total","551,661"
"Bulgaria",2010,"Total","186,092"
"Czech Republic",2010,"Total","168,372"
"Germany (until 1990 former territory of the FRG)",2010,"Total","2,916,260"
"Estonia",2010,"Total","10,294"
"Estonia",2010,"Less than 1 000 kg","98"
"Estonia",2010,"From 1 000 to 1 249 kg","1,366"
"Estonia",2010,"From 1 250 to 1 499 kg","4,550"
"Estonia",2010,"1 500 kg or over","4,280"
"Greece",2010,"Total","153,847"
"Spain",2010,"Total","1,000,010"
"Spain",2010,"Less than 1 000 kg","89,015"
"Spain",2010,"From 1 000 to 1 249 kg","286,414"
"Spain",2010,"From 1 250 to 1 499 kg","421,096"
"Spain",2010,"1 500 kg or over","203,485"
"France",2010,"Total","2,210,186"
"France",2010,"Less than 1 000 kg","354,252"
"France",2010,"From 1 000 to 1 249 kg","854,789"
"France",2010,"From 1 250 to 1 499 kg","669,019"
"France",2010,"1 500 kg or over","332,017"
"Croatia",2010,"Total","46,437"
"Croatia",2010,"Less than 1 000 kg","3,133"
"Croatia",2010,"From 1 000 to 1 249 kg","16,970"
"Croatia",2010,"From 1 250 to 1 499 kg","17,318"
"Croatia",2010,"1 500 kg or over","9,016"
"Italy",2010,"Total","1,971,830"
"Cyprus",2010,"Total","32,680"
"Cyprus",2010,"Less than 1 000 kg","2,842"
"Cyprus",2010,"From 1 000 to 1 249 kg","9,481"
"Cyprus",2010,"From 1 250 to 1 499 kg","11,123"
"Cyprus",2010,"1 500 kg or over","9,234"
"Latvia",2010,"Total","26,656"
"Latvia",2010,"Less than 1 000 kg","402"
"Latvia",2010,"From 1 000 to 1 249 kg","4,193"
"Latvia",2010,"From 1 250 to 1 499 kg","10,010"
"Latvia",2010,"1 500 kg or over","12,051"
"Lithuania",2010,"Total","161,266"
"Lithuania",2010,"Less than 1 000 kg","3,434"
"Lithuania",2010,"From 1 000 to 1 249 kg","29,307"
"Lithuania",2010,"From 1 250 to 1 499 kg","66,460"
"Lithuania",2010,"1 500 kg or over","62,075"
"Luxembourg",2010,"Total","49,726"
"Hungary",2010,"Total","61,324"
"Hungary",2010,"Less than 1 000 kg","5,723"
"Hungary",2010,"From 1 000 to 1 249 kg","18,817"
"Hungary",2010,"From 1 250 to 1 499 kg","21,079"
"Hungary",2010,"1 500 kg or over","15,705"
"Malta",2010,"Total","13,605"
"Malta",2010,"Less than 1 000 kg","181"
"Malta",2010,"From 1 000 to 1 249 kg","1,292"
"Malta",2010,"From 1 250 to 1 499 kg","5,954"
"Malta",2010,"1 500 kg or over","6,178"
"Netherlands",2010,"Total","482,633"
"Austria",2010,"Total","328,563"
"Austria",2010,"Less than 1 000 kg","40,490"
"Austria",2010,"From 1 000 to 1 249 kg","91,545"
"Austria",2010,"From 1 250 to 1 499 kg","110,597"
"Austria",2010,"1 500 kg or over","85,931"
"Poland",2010,"Total","873,098"
"Poland",2010,"Less than 1 000 kg","45,982"
"Poland",2010,"From 1 000 to 1 249 kg","186,598"
"Poland",2010,"From 1 250 to 1 499 kg","315,799"
"Poland",2010,"1 500 kg or over","324,719"
"Portugal",2010,"Total","248,813"
"Romania",2010,"Total","309,952"
"Romania",2010,"Less than 1 000 kg","32,904"
"Romania",2010,"From 1 000 to 1 249 kg","134,694"
"Romania",2010,"From 1 250 to 1 499 kg","96,297"
"Romania",2010,"1 500 kg or over","46,057"
"Slovenia",2010,"Total","60,777"
"Slovakia",2010,"Total","126,663"
"Finland",2010,"Total","112,418"
"Finland",2010,"Less than 1 000 kg","1,747"
"Finland",2010,"From 1 000 to 1 249 kg","18,913"
"Finland",2010,"From 1 250 to 1 499 kg","50,210"
"Finland",2010,"1 500 kg or over","41,102"
"Sweden",2010,"Total","308,718"
"Sweden",2010,"Less than 1 000 kg","7,562"
"Sweden",2010,"From 1 000 to 1 249 kg","44,464"
"Sweden",2010,"From 1 250 to 1 499 kg","83,701"
"Sweden",2010,"1 500 kg or over","172,991"
"United Kingdom",2010,"Total","1,996,324"
"Liechtenstein",2010,"Total","1,782"
"Liechtenstein",2010,"Less than 1 000 kg","62"
"Liechtenstein",2010,"From 1 000 to 1 249 kg","278"
