;;;;;;;;;;;;;;;;;;;
;;;;;NEW PC REGISTRATIONS OR SALES;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;Estimated figures;;;;;;;;;;;;;;;
RUSSIA;;;;1.520.225;1.911.240;2.514.920;2.897.459;1.465.742;1.912.794;2.653.688;2.755.384;2.649.181;2.333.067;1.282.740;1.239.680;;;;
SERBIA;;;;21.603;25.610;32.772;36.177;30.000;28.951;22.181;22.800;23.000;23.900;21.700;23.300;;;;
TURKEY;;;;438.597;373.219;357.465;305.998;369.819;509.784;593.519;556.280;664.655;587.331;725.596;756.938;;;;
UKRAINE;;;;258.395;361.549;500.357;599.985;170.085;169.540;207.453;237.602;213.322;97.020;46.546;65.562;;;;
;;;;;;;;;;;;;;;;;;;
AMERICA;;;;11.618.929;12.048.814;12.522.371;11.877.523;10.280.682;11.131.614;11.947.951;13.389.456;13.819.830;13.464.567;12.664.453;11.746.160;;;;
NAFTA;;;;9.221.429;9.301.364;9.045.313;8.230.872;6.569.033;6.833.529;7.363.460;8.639.763;9.039.173;9.194.809;9.121.342;8.599.729;;;;
CANADA;;;;847.436;858.826;841.585;872.720;729.023;694.349;681.956;748.530;755.615;760.449;712.322;661.088;;;;
MEXICO;;;;714.010;680.946;641.394;589.045;439.120;503.748;592.101;649.333;698.217;745.250;892.194;1.065.912;;;;
UNITED STATES OF AMERICA;;;;7.659.983;7.761.592;7.562.334;6.769.107;5.400.890;5.635.432;6.089.403;7.241.900;7.585.341;7.689.110;7.516.826;6.872.729;;;;
CENTRAL & SOUTH AMERICA;;;;2.397.500;2.747.450;3.477.058;3.646.651;3.711.649;4.298.085;4.584.491;4.749.693;4.780.657;4.269.758;3.543.111;3.146.431;;;;
ARGENTINA;;;;290.648;336.296;422.230;452.539;373.231;522.591;673.853;596.397;684.379;432.696;480.952;525.757;;;;
BAHAMAS;;;;2.500;2.000;2.000;2.000;3.500;2.000;2.000;2.500;2.000;1.600;2.800;2.700;;;;
BELIZE;;;;100;200;100;200;150;100;100;200;200;200;400;400;;;;
BOLIVIA;;;;1.000;1.500;1.500;1.500;1.000;8.000;9.500;14.000;13.900;18.500;12.800;16.900;;;;
BRAZIL;;;;1.439.822;1.632.947;2.085.718;2.341.300;2.643.862;2.856.540;2.901.647;3.115.223;3.040.783;2.794.687;2.123.009;1.676.722;;;;
CHILE;;;;140.000;140.000;180.000;181.523;130.753;212.336;245.116;257.013;286.588;256.160;212.023;228.909;;;;
COLOMBIA;;;;120.000;160.000;200.000;180.000;170.000;250.000;250.000;240.000;238.800;265.100;236.800;215.700;;;;
COSTA RICA;;;;13.000;15.000;13.000;15.000;12.000;20.000;30.000;30.000;29.800;35.200;41.800;48.300;;;;
CUBA;;;;2.000;2.000;3.000;3.000;1.500;2.000;3.000;4.000;4.000;4.000;4.000;5.900;;;;
DOMINICAN REPUBLIC;;;;6.163;7.673;6.972;4.708;1.563;2.040;2.886;3.494;2.839;3.594;5.061;4.204;;;;
ECUADOR;;;;54.342;58.900;58.334;69.556;60.596;90.250;94.297;80.644;74.169;78.485;52.101;44.816;;;;
EL SALVADOR;;;;4.000;6.000;8.000;10.000;2.000;3.000;3.000;5.000;5.000;5.000;5.400;4.600;;;;
GUADELOUPE;;;;14.359;13.562;15.539;14.295;14.084;13.480;13.695;13.158;12.427;12.599;13.409;14.160;;;;
GUATEMALA;;;;8.100;9.400;12.100;12.800;13.000;14.100;15.000;16.000;15.900;17.300;18.100;16.600;;;;
GUIANA;;;;4.085;4.071;4.437;4.357;4.446;4.393;4.719;4.357;4.256;4.248;4.414;4.671;;;;
HONDURAS;;;;4.800;5.600;7.100;8.000;6.000;1.000;1.000;1.000;1.000;1.300;900;800;;;;
JAMAICA;;;;3.000;3.000;3.000;3.000;4.000;2.000;2.000;2.000;2.000;2.300;2.300;2.000;;;;
MARTINIQUE;;;;14.749;14.132;14.666;13.679;13.142;13.187;12.976;11.527;11.091;11.325;12.931;14.197;;;;
NICARAGUA;;;;3.000;6.000;6.000;6.000;4.000;3.000;3.000;3.000;4.000;5.200;4.800;5.400;;;;
PANAMA;;;;10.000;15.000;22.000;30.000;25.000;30.000;35.000;40.000;39.800;43.000;46.700;46.200;;;;
PARAGUAY;;;;3.000;5.000;6.000;12.000;7.000;11.000;20.000;20.000;19.900;21.500;18.700;16.000;;;;
PERU;;;;14.231;20.061;28.430;55.312;48.775;73.858;93.055;128.295;139.453;140.363;137.039;133.671;;;;
PUERTO RICO;;;;96.000;85.000;92.000;65.000;65.000;45.000;55.000;55.000;54.700;58.500;49.000;66.500;;;;
TRINIDAD;;;;10.000;10.000;5.000;10.000;10.000;10.000;10.000;8.000;8.000;6.300;10.500;13.900;;;;
URUGUAY;;;;10.000;10.000;12.000;15.000;30.000;40.000;38.308;38.109;41.785;40.171;39.472;35.924;;;;
VENEZUELA;;;;128.601;184.108;267.932;135.882;67.047;68.210;65.339;60.776;43.887;10.430;7.700;1.500;;;;
;;;;;;;;;;;;;;;;;;;
ASIA/OCEANIA/MIDDLE EAST;;;;15.097.677;16.293.923;17.754.371;18.389.909;21.938.382;27.278.736;27.673.657;30.201.657;32.470.264;34.843.066;36.110.706;39.445.239;;;;
