"TIME","GEO","UNIT","ENGINE","Value","Flag and Footnotes"
"1993","Czech Republic","Number","125 cm³ or less","48,800",""
"1993","Czech Republic","Number","Over 125 cm³","352,153",""
"1993","Denmark","Number","Total","47,000",""
"1993","Denmark","Number","125 cm³ or less","13,000","d"
"1993","Denmark","Number","Over 125 cm³","34,000","d"
"1993","Germany (until 1990 former territory of the FRG)","Number","Total","1,894,000","d"
"1993","Germany (until 1990 former territory of the FRG)","Number","125 cm³ or less","270,000","d"
"1993","Germany (until 1990 former territory of the FRG)","Number","Over 125 cm³","1,624,000","d"
"1993","Estonia","Number","Total","97,133",""
"1993","Estonia","Number","125 cm³ or less",":",""
"1993","Estonia","Number","Over 125 cm³",":",""
"1993","Ireland","Number","Total","23,921",""
"1993","Ireland","Number","125 cm³ or less","7,770",""
"1993","Ireland","Number","Over 125 cm³","16,144",""
"1993","Greece","Number","Total","388,000",""
"1993","Greece","Number","125 cm³ or less","167,000",""
"1993","Greece","Number","Over 125 cm³","221,000",""
"1993","Spain","Number","Total","1,279,000",""
"1993","Spain","Number","125 cm³ or less",":",""
"1993","Spain","Number","Over 125 cm³",":",""
"1993","France","Number","Total","763,000",""
"1993","France","Number","125 cm³ or less","306,000",""
"1993","France","Number","Over 125 cm³","457,000",""
"1993","Croatia","Number","Total","7,000",""
"1993","Croatia","Number","125 cm³ or less","3,000",""
"1993","Croatia","Number","Over 125 cm³","4,000",""
"1993","Italy","Number","Total",":",""
"1993","Italy","Number","125 cm³ or less",":",""
"1993","Italy","Number","Over 125 cm³",":",""
"1993","Cyprus","Number","Total","13,300",""
"1993","Cyprus","Number","125 cm³ or less",":",""
"1993","Cyprus","Number","Over 125 cm³",":",""
"1993","Latvia","Number","Total","8,970",""
"1993","Latvia","Number","125 cm³ or less",":",""
"1993","Latvia","Number","Over 125 cm³",":",""
"1993","Lithuania","Number","Total",":",""
"1993","Lithuania","Number","125 cm³ or less",":",""
"1993","Lithuania","Number","Over 125 cm³",":",""
"1993","Luxembourg","Number","Total","7,000",""
"1993","Luxembourg","Number","125 cm³ or less",":",""
"1993","Luxembourg","Number","Over 125 cm³",":",""
"1993","Hungary","Number","Total","157,693",""
"1993","Hungary","Number","125 cm³ or less","66,000",""
"1993","Hungary","Number","Over 125 cm³","92,000",""
"1993","Malta","Number","Total",":",""
"1993","Malta","Number","125 cm³ or less",":",""
"1993","Malta","Number","Over 125 cm³",":",""
