"Države","Leto","Gram.CO2.na.km"
"Germany",2010,151.1
"Estonia",2010,162
"Ireland",2010,133.2
"Greece",2010,143.7
"Spain",2010,137.9
"France",2010,130.5
"Italy",2010,132.7
"Cyprus",2010,155.8
"Latvia",2010,162
"Lithuania",2010,150.9
"Luxembourg",2010,146
"Hungary",2010,147.4
"Malta",2010,131.2
"Netherlands",2010,135.8
"Austria",2010,144
"Poland",2010,146.2
"Portugal",2010,127.2
"Romania",2010,148.5
"Slovenia",2010,144.4
"Slovakia",2010,149
"Finland",2010,149
"Sweden",2010,151.3
"United Kingdom",2010,144.2
"Belgium",2011,127.2
"Bulgaria",2011,151.4
"Czech Republic",2011,144.5
"Denmark",2011,125
"Germany",2011,145.6
"Estonia",2011,156.9
"Ireland",2011,128.3
"Greece",2011,132.7
"Spain",2011,133.8
"France",2011,127.7
"Italy",2011,129.6
"Cyprus",2011,149.9
"Latvia",2011,154.4
"Lithuania",2011,144.4
"Luxembourg",2011,142.2
"Hungary",2011,141.6
"Malta",2011,124.7
"Netherlands",2011,126.1
"Austria",2011,138.7
"Poland",2011,144.5
"Portugal",2011,122.8
"Romania",2011,140.7
"Slovenia",2011,139.7
"Slovakia",2011,144.9
"Finland",2011,144
"Sweden",2011,141.8
"United Kingdom",2011,138
"Belgium",2012,128
"Bulgaria",2012,149.2
"Czech Republic",2012,140.8
"Denmark",2012,117
"Germany",2012,141.6
"Estonia",2012,150.3
"Ireland",2012,125.1
"Greece",2012,121.1
"Spain",2012,128.7
"France",2012,124.4
"Italy",2012,126.2
"Cyprus",2012,144.3
"Latvia",2012,152
"Lithuania",2012,144.2
"Luxembourg",2012,137
"Hungary",2012,140.8
"Malta",2012,121.5
"Netherlands",2012,118.6
"Austria",2012,135.7
"Poland",2012,141.3
"Portugal",2012,117.6
"Romania",2012,139
"Slovenia",2012,133.4
"Slovakia",2012,141
"Finland",2012,139.1
"Sweden",2012,135.9
"United Kingdom",2012,132.9
"Belgium",2013,124
"Bulgaria",2013,141.7
"Czech Republic",2013,134.6
"Denmark",2013,112.7
"Germany",2013,136.1
"Estonia",2013,147
"Ireland",2013,120.7
"Greece",2013,111.9
"Spain",2013,122.4
"France",2013,117.4
"Italy",2013,121.1
"Cyprus",2013,139.2
"Latvia",2013,147.1
"Lithuania",2013,139.8
"Luxembourg",2013,133.4
"Hungary",2013,134.4
"Malta",2013,118.7
"Netherlands",2013,109.1
"Austria",2013,131.6
"Poland",2013,138.1
"Portugal",2013,112.2
"Romania",2013,132.1
"Slovenia",2013,125.6
"Slovakia",2013,135.1
"Finland",2013,131.8
"Sweden",2013,133.2
"United Kingdom",2013,128.3
"Belgium",2014,121.3
"Bulgaria",2014,136
"Czech Republic",2014,131.8
"Denmark",2014,110.2
"Germany",2014,132.5
"Estonia",2014,140.9
"Ireland",2014,117.1
"Greece",2014,108.2
"Spain",2014,118.6
"France",2014,114.2
"Croatia",2014,115.8
"Italy",2014,118.2
"Cyprus",2014,130.1
"Latvia",2014,140.4
"Lithuania",2014,135.8
"Luxembourg",2014,129.9
"Hungary",2014,133
"Malta",2014,115.1
"Netherlands",2014,107.3
"Austria",2014,128.6
"Poland",2014,132.7
"Portugal",2014,108.8
"Romania",2014,128.3
"Slovenia",2014,121.3
"Slovakia",2014,131.8
"Finland",2014,127.4
"Sweden",2014,131
"United Kingdom",2014,124.6
