"Drzava","Leto","Stevilo"
"Cyprus",1998,24856
"Latvia",1998,57363
"Lithuania",1998,147105
"Luxembourg",1998,36353
"Hungary",1998,101328
"Malta",1998,10750
"Netherlands",1998,543110
"Austria",1998,295865
"Poland",1998,557783
"Portugal",1998,323981
"Romania",1998,105986
"Slovenia",1998,67133
"Slovakia",1998,76007
"Finland",1998,126386
"Sweden",1998,286671
"United Kingdom",1998,2362589
"Iceland",1998,15064
"Liechtenstein",1998,2
"Norway",1998,141090
"Switzerland",1998,295165
"Turkey",1998,271843
"Belgium",1999,504203
"Bulgaria",1999,103459
"Denmark",1999,144259
"Germany (until 1990 former territory of the FRG)",1999,3802176
"Estonia",1999,6864
"Ireland",1999,170322
"Greece",1999,268716
"Spain",1999,1502531
"France",1999,2148423
"Croatia",1999,89846
"Italy",1999,2312309
"Cyprus",1999,20133
"Latvia",1999,45861
"Lithuania",1999,142069
"Luxembourg",1999,40989
"Hungary",1999,126085
"Malta",1999,13341
"Netherlands",1999,611776
"Austria",1999,314182
"Poland",1999,599250
"Portugal",1999,351575
"Romania",1999,90047
"Slovenia",1999,77217
"Slovakia",1999,58152
"Finland",1999,137017
"Sweden",1999,327710
"United Kingdom",1999,2414660
"Iceland",1999,17007
"Liechtenstein",1999,2
"Norway",1999,123843
"Switzerland",1999,314691
"Belgium",2000,531640
"Bulgaria",2000,98185
"Denmark",2000,113631
"Germany (until 1990 former territory of the FRG)",2000,3378343
"Estonia",2000,10240
"Ireland",2000,225269
"Greece",2000,302620
"Spain",2000,1467160
"France",2000,2133884
"Croatia",2000,92759
"Italy",2000,2359674
"Cyprus",2000,19056
"Latvia",2000,35745
"Lithuania",2000,115808
"Luxembourg",2000,42304
"Hungary",2000,130323
"Malta",2000,13055
"Netherlands",2000,597623
"Austria",2000,309427
"Poland",2000,519407
"Portugal",2000,340397
"Slovenia",2000,55120
"Slovakia",2000,54352
"Finland",2000,135243
"Sweden",2000,342965
"United Kingdom",2000,2432149
"Iceland",2000,14769
"Liechtenstein",2000,1937
"Norway",2000,126978
"Switzerland",2000,314482
"Turkey",2000,354013
"Belgium",2001,499779
"Bulgaria",2001,117333
"Denmark",2001,96114
"Germany (until 1990 former territory of the FRG)",2001,3341718
"Estonia",2001,12822
"Ireland",2001,160908
"Greece",2001,289943
"Spain",2001,1498899
"France",2001,2254732
"Croatia",2001,108484
"Italy",2001,2379980
"Cyprus",2001,24533
"Latvia",2001,37850
"Lithuania",2001,71328
"Luxembourg",2001,43164
"Hungary",2001,137771
"Malta",2001,10295
"Netherlands",2001,530287
"Austria",2001,293528
"Poland",2001,450095
"Portugal",2001,302763
"Slovenia",2001,52316
"Slovakia",2001,66759
"Finland",2001,109911
"Sweden",2001,280280
"United Kingdom",2001,2663288
"Iceland",2001,7669
"Liechtenstein",2001,2065
"Switzerland",2001,314580
"Turkey",2001,117196
"Belgium",2002,472830
"Bulgaria",2002,121512
"Denmark",2002,111598
"Germany (until 1990 former territory of the FRG)",2002,3252898
"Estonia",2002,14701
"Ireland",2002,150485
"Greece",2002,277567
"Spain",2002,1408426
"France",2002,2145071
"Croatia",2002,94989
"Italy",2002,2224764
"Cyprus",2002,28101
"Latvia",2002,40335
"Lithuania",2002,93305
"Luxembourg",2002,43677
"Hungary",2002,160238
"Malta",2002,10267
"Netherlands",2002,510744
"Austria",2002,279493
"Poland",2002,421167
"Portugal",2002,267374
"Slovenia",2002,50859
"Slovakia",2002,67298
"Finland",2002,117486
"Sweden",2002,281446
"United Kingdom",2002,2756342
"Iceland",2002,7375
"Liechtenstein",2002,2074
"Switzerland",2002,293034
"Turkey",2002,170191
"Belgium",2003,463173
"Bulgaria",2003,143480
"Czech Republic",2003,144849
"Germany (until 1990 former territory of the FRG)",2003,3236938
"Estonia",2003,15824
"Ireland",2003,142992
"Greece",2003,272515
"France",2003,2009246
"Croatia",2003,104399
"Italy",2003,2516972
"Cyprus",2003,29961
"Latvia",2003,50290
"Lithuania",2003,118263
"Luxembourg",2003,43765
"Hungary",2003,190107
"Netherlands",2003,488977
"Austria",2003,300121
"Poland",2003,274392
"Slovenia",2003,59881
"Slovakia",2003,71954
"Finland",2003,148020
"Sweden",2003,293035
"United Kingdom",2003,2720096
"Iceland",2003,10833
"Liechtenstein",2003,1770
"Switzerland",2003,269711
"Turkey",2003,176217
"Belgium",2004,489346
"Bulgaria",2004,150803
"Czech Republic",2004,123579
"Germany (until 1990 former territory of the FRG)",2004,3266826
"Estonia",2004,16514
"Ireland",2004,149635
"Greece",2004,317508
"France",2004,2013709
"Croatia",2004,99863
"Italy",2004,2743769
"Cyprus",2004,43842
"Latvia",2004,57474
"Lithuania",2004,134612
"Luxembourg",2004,48273
"Hungary",2004,188488
"Netherlands",2004,483885
"Austria",2004,311292
"Poland",2004,833021
"Romania",2004,149290
"Slovenia",2004,62697
"Slovakia",2004,71954
"Finland",2004,143160
"Sweden",2004,297405
"United Kingdom",2004,2668449
"Iceland",2004,13927
"Liechtenstein",2004,1790
"Norway",2004,145538
"Switzerland",2004,267476
"Turkey",2004,432728
"Belgium",2005,484915
"Bulgaria",2005,168102
"Czech Republic",2005,125166
"Germany (until 1990 former territory of the FRG)",2005,3342122
"Ireland",2005,166270
"Greece",2005,302613
"Croatia",2005,101916
"Italy",2005,2441978
"Cyprus",2005,38676
"Latvia",2005,69704
"Lithuania",2005,173644
"Luxembourg",2005,48517
"Malta",2005,10058
"Netherlands",2005,465196
"Poland",2005,979082
"Romania",2005,179531
"Slovenia",2005,60531
"Sweden",2005,297050
"Iceland",2005,22141
"Switzerland",2005,260682
"Turkey",2005,406807
"Belgium",2006,530941
"Bulgaria",2006,182095
"Czech Republic",2006,120370
"Denmark",2006,131605
"Germany (until 1990 former territory of the FRG)",2006,3467961
"Estonia",2006,25372
"Ireland",2006,173273
"Greece",2006,304700
"Spain",2006,1660627
"France",2006,2000549
"Croatia",2006,114680
"Italy",2006,2541570
"Cyprus",2006,37192
"Latvia",2006,97399
"Lithuania",2006,185271
"Luxembourg",2006,50837
"Hungary",2006,151670
"Malta",2006,9966
"Netherlands",2006,483999
"Austria",2006,308594
"Poland",2006,923783
"Romania",2006,312515
"Slovenia",2006,59885
"Finland",2006,146201
"Sweden",2006,300502
"Liechtenstein",2006,1890
"Norway",2006,142572
"Switzerland",2006,269700
"Turkey",2006,396542
"Belgium",2007,529606
"Bulgaria",2007,348887
"Czech Republic",2007,129443
"Denmark",2007,252183
"Germany (until 1990 former territory of the FRG)",2007,3148163
"Estonia",2007,30916
"Ireland",2007,193915
"Greece",2007,317879
"Spain",2007,1633806
"France",2007,2064543
"Croatia",2007,108015
"Italy",2007,2514905
"Cyprus",2007,50908
"Latvia",2007,107003
"Lithuania",2007,220236
"Luxembourg",2007,51332
"Hungary",2007,136032
"Malta",2007,9574
"Netherlands",2007,505779
"Austria",2007,298182
"Poland",2007,1128684
"Romania",2007,436349
"Slovenia",2007,67791
"Slovakia",2007,146292
"Finland",2007,126022
"Sweden",2007,321705
"Liechtenstein",2007,1990
"Norway",2007,162970
"Switzerland",2007,284000
"Turkey",2007,353495
"Belgium",2008,540542
"Bulgaria",2008,351433
"Czech Republic",2008,141954
"Denmark",2008,184323
"Germany (until 1990 former territory of the FRG)",2008,3090040
"Estonia",2008,24590
"Ireland",2008,158350
"Greece",2008,295853
"Spain",2008,1188485
"France",2008,2050283
"Croatia",2008,96712
"Italy",2008,2193822
"Cyprus",2008,51410
"Latvia",2008,54759
"Lithuania",2008,191768
"Luxembourg",2008,52359
"Hungary",2008,176678
"Malta",2008,9542
"Netherlands",2008,500098
"Austria",2008,293697
"Poland",2008,1280633
"Romania",2008,586476
"Slovenia",2008,71037
"Slovakia",2008,151814
"Finland",2008,140216
"Sweden",2008,257806
"United Kingdom",2008,2112000
"Liechtenstein",2008,2005
"Norway",2008,138241
"Switzerland",2008,288000
"Turkey",2008,353168
"Belgium",2009,479920
"Bulgaria",2009,201304
"Czech Republic",2009,160614
"Germany (until 1990 former territory of the FRG)",2009,3807175
"Estonia",2009,9948
"Ireland",2009,59358
"Greece",2009,244539
"Spain",2009,971177
"France",2009,2269011
"Croatia",2009,53569
"Italy",2009,2176940
"Cyprus",2009,37494
"Latvia",2009,17288
"Lithuania",2009,136803
"Luxembourg",2009,47264
"Malta",2009,15816
"Netherlands",2009,387408
"Austria",2009,319403
"Poland",2009,864295
"Portugal",2009,181132
"Romania",2009,328880
"Slovenia",2009,57391
"Slovakia",2009,148370
"Finland",2009,90923
"Sweden",2009,228519
"United Kingdom",2009,1968000
"Liechtenstein",2009,1620
"Norway",2009,125903
"Switzerland",2009,266500
"Turkey",2009,357986
"Belgium",2010,551661
"Bulgaria",2010,186092
"Czech Republic",2010,168372
"Germany (until 1990 former territory of the FRG)",2010,2916260
"Estonia",2010,10294
"Ireland",2010,105343
"Greece",2010,153847
"Spain",2010,1000010
"France",2010,2210186
"Croatia",2010,46437
"Italy",2010,1971830
"Cyprus",2010,32680
"Latvia",2010,26656
"Lithuania",2010,161266
"Luxembourg",2010,49726
"Hungary",2010,61324
"Malta",2010,13605
"Netherlands",2010,482633
"Austria",2010,328563
"Poland",2010,873098
"Portugal",2010,248813
"Romania",2010,309952
"Slovenia",2010,60777
"Slovakia",2010,126663
"Finland",2010,112418
"Sweden",2010,308718
"United Kingdom",2010,1996324
"Liechtenstein",2010,1782
"Norway",2010,159374
"Switzerland",2010,296600
"Turkey",2010,485619
"Belgium",2011,577382
"Bulgaria",2011,191430
"Czech Republic",2011,172787
"Germany (until 1990 former territory of the FRG)",2011,3173634
"Estonia",2011,17058
"Ireland",2011,104022
"Greece",2011,107737
"Spain",2011,817688
"France",2011,2160928
"Croatia",2011,48883
"Italy",2011,1764592
"Cyprus",2011,27929
"Latvia",2011,43468
"Lithuania",2011,132117
"Luxembourg",2011,49881
"Hungary",2011,76528
"Malta",2011,15875
"Netherlands",2011,555846
"Austria",2011,356145
"Poland",2011,928457
"Portugal",2011,177183
"Romania",2011,176555
"Slovenia",2011,59813
"Slovakia",2011,130772
"Finland",2011,126651
"Sweden",2011,326615
"United Kingdom",2011,1907411
"Liechtenstein",2011,2029
"Norway",2011,168552
"Switzerland",2011,328000
"Turkey",2011,602248
"Belgium",2012,490711
"Bulgaria",2012,196614
"Czech Republic",2012,174311
"Germany (until 1990 former territory of the FRG)",2012,3082504
"Estonia",2012,19422
"Ireland",2012,77506
"Greece",2012,64301
"Spain",2012,710638
"France",2012,1857013
"Croatia",2012,40825
"Italy",2012,1403043
"Cyprus",2012,20556
"Latvia",2012,50135
"Lithuania",2012,153024
"Luxembourg",2012,50398
"Hungary",2012,106671
"Malta",2012,13037
"Netherlands",2012,502479
"Austria",2012,336010
"Poland",2012,908906
"Portugal",2012,110002
"Romania",2012,242025
"Slovenia",2012,49700
"Slovakia",2012,130818
"Finland",2012,111664
"Sweden",2012,301316
"Liechtenstein",2012,2108
"Norway",2012,171828
"Switzerland",2012,334000
"Turkey",2012,565791
"Belgium",2013,490369
"Bulgaria",2013,199963
"Czech Republic",2013,164627
"Germany (until 1990 former territory of the FRG)",2013,2952431
"Estonia",2013,19690
"Ireland",2013,74960
"Greece",2013,64932
"Spain",2013,742305
"France",2013,1756953
"Croatia",2013,46563
"Italy",2013,1311334
"Cyprus",2013,14771
"Latvia",2013,55808
"Lithuania",2013,155855
"Luxembourg",2013,46624
"Hungary",2013,126937
"Malta",2013,13094
"Netherlands",2013,416717
"Austria",2013,319035
"Poland",2013,987809
"Romania",2013,279740
"Slovenia",2013,51968
"Slovakia",2013,113876
"Finland",2013,103450
"Sweden",2013,292162
"Liechtenstein",2013,1920
"Norway",2013,176019
"Switzerland",2013,310200
"Turkey",2013,654905
"Belgium",2014,487711
"Bulgaria",2014,211033
"Czech Republic",2014,192923
"Germany (until 1990 former territory of the FRG)",2014,3036773
"Estonia",2014,21128
"Ireland",2014,84136
"Greece",2014,84445
"Spain",2014,890125
"France",2014,1765855
"Croatia",2014,68522
"Cyprus",2014,17933
"Latvia",2014,13173
"Lithuania",2014,136098
"Luxembourg",2014,49793
"Hungary",2014,164420
"Malta",2014,15439
"Austria",2014,303318
"Poland",2014,1047598
"Portugal",2014,199288
"Slovenia",2014,54086
"Slovakia",2014,125813
"Finland",2014,106235
"Sweden",2014,324030
"Liechtenstein",2014,1800
"Norway",2014,172042
"Switzerland",2014,304100
"Turkey",2014,585814
"Belgium",2015,506284
"Czech Republic",2015,229731
"Germany (until 1990 former territory of the FRG)",2015,3206042
"Estonia",2015,21064
"Ireland",2015,129959
"Greece",2015,96151
"Spain",2015,1094117
"France",2015,1886229
"Croatia",2015,74181
"Cyprus",2015,21462
"Latvia",2015,14291
"Lithuania",2015,131606
"Luxembourg",2015,46473
"Hungary",2015,199906
"Malta",2015,16803
"Austria",2015,308555
"Poland",2015,1145506
"Romania",2015,332223
"Slovenia",2015,60668
"Slovakia",2015,137751
"Finland",2015,108819
"Sweden",2015,361908
"United Kingdom",2015,2602146
"Liechtenstein",2015,2049
"Norway",2015,176336
"Switzerland",2015,327100
"Turkey",2015,746395
